EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES834905	EXP13921	TRT1783
ES834917	EXP13921	TRT1783
ES834927	EXP13921	TRT1783
ES834948	EXP13921	TRT1783
ES834969	EXP13921	TRT1783
ES834972	EXP13921	TRT1783
ES834993	EXP13921	TRT1783
ES834997	EXP13921	TRT1783
ES835014	EXP13921	TRT1783
ES835019	EXP13921	TRT1783
ES835032	EXP13921	TRT1783
ES835037	EXP13921	TRT1783
ES835057	EXP13921	TRT1783
ES835059	EXP13921	TRT1783
ES835062	EXP13921	TRT1783
ES835063	EXP13921	TRT1783
ES835065	EXP13921	TRT1783
ES835079	EXP13921	TRT1783
ES835080	EXP13921	TRT1783
ES850730	EXP13950	TRT1834
ES850732	EXP13950	TRT1834
ES850736	EXP13950	TRT1834
ES850749	EXP13950	TRT1834
ES850753	EXP13950	TRT1834
ES850759	EXP13950	TRT1834
ES850764	EXP13950	TRT1834
ES850779	EXP13950	TRT1834
ES850783	EXP13950	TRT1834
ES850789	EXP13950	TRT1834
ES850790	EXP13950	TRT1834
ES850796	EXP13950	TRT1834
ES850800	EXP13950	TRT1834
ES850810	EXP13950	TRT1834
ES850812	EXP13950	TRT1834
ES850815	EXP13950	TRT1834
ES850816	EXP13950	TRT1834
ES850817	EXP13950	TRT1834
ES850818	EXP13950	TRT1834
ES850821	EXP13950	TRT1834
ES850824	EXP13950	TRT1834
ES850828	EXP13950	TRT1834
ES850860	EXP13950	TRT1834
ES850879	EXP13950	TRT1834
ES850881	EXP13950	TRT1834
ES850893	EXP13950	TRT1834
ES850899	EXP13950	TRT1834
ES850901	EXP13950	TRT1834
ES848202	EXP13922	TRT1755
ES848218	EXP13922	TRT1753
ES848227	EXP13922	TRT494
ES848236	EXP13922	TRT1753
ES848240	EXP13922	TRT495
ES848247	EXP13922	TRT492
ES848259	EXP13922	TRT492
ES848265	EXP13922	TRT492
ES848286	EXP13922	TRT1755
ES848301	EXP13922	TRT492
ES848308	EXP13922	TRT1753
ES848318	EXP13922	TRT495
ES848319	EXP13922	TRT492
ES848325	EXP13922	TRT492
ES848330	EXP13922	TRT495
ES848332	EXP13922	TRT1753
ES848348	EXP13922	TRT495
ES848379	EXP13922	TRT492
ES848386	EXP13922	TRT1753
ES848394	EXP13922	TRT1755
ES848408	EXP13922	TRT495
ES848421	EXP13922	TRT492
ES848422	EXP13922	TRT1753
ES848439	EXP13922	TRT492
ES833874	EXP13915	TRT1785
ES833888	EXP13915	TRT1785
ES847983	EXP13922	TRT492
ES848000	EXP13922	TRT495
ES848005	EXP13922	TRT494
ES848007	EXP13922	TRT492
ES848016	EXP13922	TRT1755
ES848025	EXP13922	TRT492
ES848028	EXP13922	TRT1755
ES848037	EXP13922	TRT492
ES848040	EXP13922	TRT1755
ES848048	EXP13922	TRT495
ES848058	EXP13922	TRT1755
ES848082	EXP13922	TRT1755
ES848086	EXP13922	TRT1753
ES848110	EXP13922	TRT1753
ES848121	EXP13922	TRT492
ES848125	EXP13922	TRT494
ES848127	EXP13922	TRT492
ES848129	EXP13922	TRT1754
ES848154	EXP13922	TRT1755
ES848161	EXP13922	TRT494
ES848162	EXP13922	TRT495
ES848164	EXP13922	TRT1753
ES848183	EXP13922	TRT1754
ES848187	EXP13922	TRT492
ES848188	EXP13922	TRT1753
ES834586	EXP13921	TRT1783
ES834588	EXP13921	TRT1783
ES834589	EXP13921	TRT1783
ES834599	EXP13921	TRT1783
ES834610	EXP13921	TRT1783
ES834614	EXP13921	TRT1783
ES834619	EXP13921	TRT1783
ES834623	EXP13921	TRT1783
ES834626	EXP13921	TRT1783
ES834646	EXP13921	TRT1783
ES834650	EXP13921	TRT1783
ES834668	EXP13921	TRT1783
ES834693	EXP13921	TRT1783
ES834695	EXP13921	TRT1783
ES834707	EXP13921	TRT1783
ES834711	EXP13921	TRT1783
ES834712	EXP13921	TRT1783
ES834717	EXP13921	TRT1783
ES834730	EXP13921	TRT1783
ES834731	EXP13921	TRT1783
ES834735	EXP13921	TRT1783
ES834739	EXP13921	TRT1783
ES834751	EXP13921	TRT1783
ES834753	EXP13921	TRT1783
ES850911	EXP13950	TRT1834
ES850912	EXP13950	TRT1834
ES850915	EXP13950	TRT1834
ES850919	EXP13950	TRT1834
ES850932	EXP13950	TRT1834
ES850942	EXP13950	TRT1834
ES850949	EXP13950	TRT1834
ES850950	EXP13950	TRT1834
ES850958	EXP13950	TRT1834
ES850964	EXP13950	TRT1834
ES850966	EXP13950	TRT1834
ES850970	EXP13950	TRT1834
ES850976	EXP13950	TRT1834
ES850990	EXP13950	TRT1834
ES850993	EXP13950	TRT1834
ES850997	EXP13950	TRT1834
ES851011	EXP13950	TRT1834
ES851014	EXP13950	TRT1834
ES851037	EXP13950	TRT1834
ES851044	EXP13950	TRT1834
ES851052	EXP13950	TRT1834
ES851053	EXP13950	TRT1834
ES851062	EXP13950	TRT1834
ES851071	EXP13950	TRT1834
ES851073	EXP13950	TRT1834
ES851079	EXP13950	TRT1834
ES851080	EXP13950	TRT1834
ES851085	EXP13950	TRT1834
ES851090	EXP13950	TRT1834
ES851101	EXP13950	TRT1834
ES851115	EXP13950	TRT1834
ES851117	EXP13950	TRT1834
ES851118	EXP13950	TRT1834
ES851121	EXP13950	TRT1834
ES851127	EXP13950	TRT1834
ES851134	EXP13950	TRT1834
ES851151	EXP13950	TRT1834
ES851161	EXP13950	TRT1834
ES851164	EXP13950	TRT1834
ES851168	EXP13950	TRT1834
ES851169	EXP13950	TRT1834
ES851170	EXP13950	TRT1834
ES851172	EXP13950	TRT1834
ES851191	EXP13950	TRT1834
ES851195	EXP13950	TRT1834
ES851197	EXP13950	TRT1834
ES851223	EXP13950	TRT1834
ES851227	EXP13950	TRT1834
ES851239	EXP13950	TRT1834
ES851240	EXP13950	TRT1834
ES851245	EXP13950	TRT1834
ES851247	EXP13950	TRT1834
ES851252	EXP13950	TRT1834
ES851260	EXP13950	TRT1834
ES851263	EXP13950	TRT1834
ES851269	EXP13950	TRT1834
ES851275	EXP13950	TRT1834
ES851280	EXP13950	TRT1834
ES851287	EXP13950	TRT1834
ES851291	EXP13950	TRT1834
ES851310	EXP13950	TRT1834
ES851313	EXP13950	TRT1834
ES851330	EXP13950	TRT1834
ES833743	EXP13915	TRT1785
ES833761	EXP13915	TRT1785
ES833788	EXP13915	TRT1785
ES833792	EXP13915	TRT1785
ES833794	EXP13915	TRT1785
ES833802	EXP13915	TRT1785
ES833810	EXP13915	TRT1785
ES833811	EXP13915	TRT1785
ES833814	EXP13915	TRT1785
ES833827	EXP13915	TRT1785
ES833834	EXP13915	TRT1785
ES833836	EXP13915	TRT1785
ES833852	EXP13915	TRT1785
ES833858	EXP13915	TRT1785
ES834776	EXP13921	TRT1783
ES834788	EXP13921	TRT1783
ES834796	EXP13921	TRT1783
ES834801	EXP13921	TRT1783
ES834810	EXP13921	TRT1783
ES834816	EXP13921	TRT1783
ES834824	EXP13921	TRT1783
ES834832	EXP13921	TRT1783
ES834857	EXP13921	TRT1783
ES834859	EXP13921	TRT1783
ES834868	EXP13921	TRT1783
ES834872	EXP13921	TRT1783
ES834884	EXP13921	TRT1783
ES834897	EXP13921	TRT1783
ES834903	EXP13921	TRT1783
ES834906	EXP13921	TRT1783
ES834912	EXP13921	TRT1783
ES834921	EXP13921	TRT1783
ES834925	EXP13921	TRT1783
ES834930	EXP13921	TRT1783
ES834942	EXP13921	TRT1783
ES834958	EXP13921	TRT1783
ES834961	EXP13921	TRT1783
ES834962	EXP13921	TRT1783
ES834973	EXP13921	TRT1783
ES834974	EXP13921	TRT1783
ES834979	EXP13921	TRT1783
ES834990	EXP13921	TRT1783
ES834992	EXP13921	TRT1783
ES834996	EXP13921	TRT1783
ES835012	EXP13921	TRT1783
ES835021	EXP13921	TRT1783
ES835022	EXP13921	TRT1783
ES835025	EXP13921	TRT1783
ES835027	EXP13921	TRT1783
ES835043	EXP13921	TRT1783
ES835050	EXP13921	TRT1783
ES835068	EXP13921	TRT1783
ES850748	EXP13950	TRT1834
ES850750	EXP13950	TRT1834
ES850757	EXP13950	TRT1834
ES850763	EXP13950	TRT1834
ES850765	EXP13950	TRT1834
ES850777	EXP13950	TRT1834
ES850778	EXP13950	TRT1834
ES850780	EXP13950	TRT1834
ES850814	EXP13950	TRT1834
ES850834	EXP13950	TRT1834
ES850847	EXP13950	TRT1834
ES850855	EXP13950	TRT1834
ES850871	EXP13950	TRT1834
ES850886	EXP13950	TRT1834
ES850887	EXP13950	TRT1834
ES850889	EXP13950	TRT1834
ES850890	EXP13950	TRT1834
ES850895	EXP13950	TRT1834
ES848211	EXP13922	TRT492
ES848221	EXP13922	TRT494
ES848246	EXP13922	TRT495
ES848248	EXP13922	TRT1753
ES848251	EXP13922	TRT494
ES848253	EXP13922	TRT492
ES848257	EXP13922	TRT494
ES848258	EXP13922	TRT495
ES848272	EXP13922	TRT1753
ES848274	EXP13922	TRT1755
ES848275	EXP13922	TRT494
ES848284	EXP13922	TRT1753
ES848285	EXP13922	TRT1754
ES848291	EXP13922	TRT1754
ES848293	EXP13922	TRT494
ES848300	EXP13922	TRT495
ES848302	EXP13922	TRT1753
ES848313	EXP13922	TRT492
ES848316	EXP13922	TRT1755
ES848334	EXP13922	TRT1755
ES848339	EXP13922	TRT1754
ES848342	EXP13922	TRT495
ES848346	EXP13922	TRT1755
ES848358	EXP13922	TRT1755
ES848364	EXP13922	TRT1755
ES848367	EXP13922	TRT492
ES848372	EXP13922	TRT495
ES848380	EXP13922	TRT1753
ES848398	EXP13922	TRT1753
ES848410	EXP13922	TRT1753
ES848416	EXP13922	TRT1753
ES848425	EXP13922	TRT494
ES848426	EXP13922	TRT495
ES848428	EXP13922	TRT1753
ES848429	EXP13922	TRT1754
ES848433	EXP13922	TRT492
ES848434	EXP13922	TRT1753
ES848436	EXP13922	TRT1755
ES848452	EXP13922	TRT1753
ES848454	EXP13922	TRT1755
ES833878	EXP13915	TRT1785
ES833879	EXP13915	TRT1785
ES833880	EXP13915	TRT1785
ES833881	EXP13915	TRT1785
ES833883	EXP13915	TRT1785
ES833886	EXP13915	TRT1785
ES847986	EXP13922	TRT1755
ES847992	EXP13922	TRT1755
ES847998	EXP13922	TRT1755
ES848004	EXP13922	TRT1755
ES848018	EXP13922	TRT495
ES848026	EXP13922	TRT1753
ES848041	EXP13922	TRT494
ES848046	EXP13922	TRT1755
ES848047	EXP13922	TRT494
ES848064	EXP13922	TRT1755
ES848069	EXP13922	TRT1754
ES848070	EXP13922	TRT1755
ES848074	EXP13922	TRT1753
ES848077	EXP13922	TRT494
ES848080	EXP13922	TRT1753
ES848083	EXP13922	TRT494
ES848084	EXP13922	TRT495
ES848122	EXP13922	TRT1753
ES848142	EXP13922	TRT1755
ES848148	EXP13922	TRT1755
ES848160	EXP13922	TRT1755
ES848182	EXP13922	TRT1753
ES848185	EXP13922	TRT494
ES848194	EXP13922	TRT1753
ES834578	EXP13921	TRT1783
ES834582	EXP13921	TRT1783
ES834591	EXP13921	TRT1783
ES834594	EXP13921	TRT1783
ES834603	EXP13921	TRT1783
ES834609	EXP13921	TRT1783
ES834616	EXP13921	TRT1783
ES834625	EXP13921	TRT1783
ES834631	EXP13921	TRT1783
ES834633	EXP13921	TRT1783
ES834639	EXP13921	TRT1783
ES834642	EXP13921	TRT1783
ES834662	EXP13921	TRT1783
ES834663	EXP13921	TRT1783
ES834672	EXP13921	TRT1783
ES834673	EXP13921	TRT1783
ES834686	EXP13921	TRT1783
ES834690	EXP13921	TRT1783
ES834705	EXP13921	TRT1783
ES834709	EXP13921	TRT1783
ES834719	EXP13921	TRT1783
ES834723	EXP13921	TRT1783
