FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1105333	CD4-	CD4-	ANA41	550393
1105338	CCR6+	CCR6+	ANA36	550394
1105340	CD4-	CD4-	ANA41	550395
1105351	CD19+	CD19+	ANA805	550398
1105361	CD27+	CD27+	ANA40	550400
1105363	CD3-	CD3-	ANA809	550401
1105395	CD19+	CD19+	ANA805	550407
1105397	CD14-	CD14-	ANA804	550407
1105398	CD27-	CD27-	ANA40	550407
1105412	CD14-	CD14-	ANA804	550410
1105437	CD14-	CD14-	ANA804	550415
1105445	IgD-	IgD-	ANA813	550416
1105452	CD19+	CD19+	ANA805	550418
1105454	CD14-	CD14-	ANA804	550418
1105456	B7-2+	CD86+	ANA868	550418
1105457		Lin1-		550419
1105465	CD2-	CD2-	ANA860	550420
1105489	CD2-	CD2-	ANA860	550425
1105490		Lin1-		550426
1105497	BDCA2, CD303-	BDCA2-	ANA870	550427
1105498	CD11c+	CD11c+	ANA814	550427
1105513	BDCA2, CD303-	BDCA2-	ANA870	550430
1105517	CD2-	CD2-	ANA860	550430
1105522	BDCA3-	BDCA3-	ANA894	550431
1105523	BDCA1+	CD1c+	ANA895	550431
