EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1004705	ESR15702
ES1004705	ESR15680
ES1004706	ESR15696
ES1004706	ESR15683
ES1004707	ESR15680
ES1004707	ESR15679
ES1004708	ESR15729
ES1004709	ESR15678
ES1004709	ESR15675
ES1004711	ESR15708
ES1004711	ESR15702
ES1004713	ESR16852
ES1004713	ESR15723
ES1004714	ESR15680
ES1004715	ESR15714
ES1004716	ESR15731
ES1004716	ESR15673
ES1004717	ESR15674
ES1004718	ESR16851
ES1004718	ESR15673
ES1004721	ESR15699
ES1004721	ESR15696
ES1004722	ESR15719
ES1004722	ESR15679
ES1004723	ESR15674
ES1004724	ESR15674
ES1004725	ESR15728
ES1004725	ESR15681
ES1004725	ESR15679
ES1004726	ESR15686
ES1004726	ESR15684
ES1004727	ESR15722
ES1004728	ESR15672
ES1004729	ESR15724
ES1004729	ESR15706
ES1004730	ESR15678
ES1004730	ESR15673
ES1004731	ESR15675
ES1004732	ESR15725
ES1004733	ESR15726
ES1004733	ESR15718
ES1004733	ESR15678
ES1004734	ESR16851
ES1004734	ESR15723
ES1004735	ESR15704
ES1004735	ESR15680
ES1004736	ESR15674
ES1004738	ESR15702
ES1004741	ESR15715
ES1004743	ESR15724
ES1004744	ESR15726
ES1004746	ESR15680
ES1004746	ESR15679
ES1004747	ESR15678
ES1004747	ESR15674
ES1004747	ESR15673
ES1004747	ESR15672
ES1004748	ESR15682
ES1004749	ESR15679
ES1004749	ESR15676
ES1004750	ESR15701
ES1004751	ESR15689
ES1004752	ESR15724
ES1004754	ESR15694
ES1004754	ESR15680
ES1004755	ESR15678
ES1004755	ESR15673
ES1004757	ESR15722
ES1004757	ESR15720
ES1004758	ESR15722
ES1004758	ESR15721
ES1004759	ESR15674
ES1004760	ESR15686
ES1004762	ESR15680
ES1004762	ESR15674
ES1004763	ESR15703
ES1004764	ESR15718
ES1004765	ESR15673
ES1004769	ESR15731
ES1004769	ESR15706
ES1004769	ESR15703
ES1004769	ESR15680
ES1004771	ESR15679
ES1004773	ESR15679
ES1004773	ESR15674
ES1004775	ESR15711
ES1004775	ESR15675
ES1004775	ESR15673
ES1004776	ESR15725
ES1004776	ESR15720
ES1004777	ESR15715
ES1004777	ESR15714
ES1004778	ESR15679
ES1004778	ESR15673
ES1004780	ESR15724
ES1004780	ESR15673
ES1004782	ESR15691
ES1004783	ESR15724
ES1004788	ESR15735
ES1004788	ESR15720
ES1004788	ESR15674
ES1004790	ESR16851
ES1004790	ESR15722
ES1004790	ESR15674
ES1004791	ESR15700
ES1004791	ESR15699
ES1004792	ESR15680
ES1004792	ESR15679
ES1004792	ESR15673
ES1004793	ESR15723
ES1004793	ESR15721
ES1004793	ESR15720
