STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	ANALYTE	ASSAY_GROUP_ID	ASSAY_ID	COMMENTS	DATA_FORMAT	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6957	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6959	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6962	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6966	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6975	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6980	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6644	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6645	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6657	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6663	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7027	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7030	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7036	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6670	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6671	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6676	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6682	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6689	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6691	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7056	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7061	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7064	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7069	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7070	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7073	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7074	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6710	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6711	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6716	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
