STANDARD_CURVE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6796	533146	MBAA	MBAA
SC6793	533146	MBAA	MBAA
SC6786	533146	MBAA	MBAA
SC6784	533146	MBAA	MBAA
SC6767	533146	MBAA	MBAA
SC6761	533146	MBAA	MBAA
SC6756	533146	MBAA	MBAA
SC6744	533146	MBAA	MBAA
SC6735	533146	MBAA	MBAA
SC6727	533146	MBAA	MBAA
SC6726	533146	MBAA	MBAA
SC6725	533146	MBAA	MBAA
SC6703	533146	MBAA	MBAA
SC6683	533146	MBAA	MBAA
SC6661	533146	MBAA	MBAA
SC6647	533146	MBAA	MBAA
SC6634	533146	MBAA	MBAA
SC6627	533146	MBAA	MBAA
SC7191	533146	MBAA	MBAA
SC7188	533146	MBAA	MBAA
SC7176	533146	MBAA	MBAA
SC7156	533146	MBAA	MBAA
SC7148	533146	MBAA	MBAA
SC7133	533146	MBAA	MBAA
SC7125	533146	MBAA	MBAA
SC7115	533146	MBAA	MBAA
SC7100	533146	MBAA	MBAA
SC7088	533146	MBAA	MBAA
SC7082	533146	MBAA	MBAA
SC7075	533146	MBAA	MBAA
SC7067	533146	MBAA	MBAA
SC7044	533146	MBAA	MBAA
SC7032	533146	MBAA	MBAA
SC7019	533146	MBAA	MBAA
SC7018	533146	MBAA	MBAA
SC7015	533146	MBAA	MBAA
SC7011	533146	MBAA	MBAA
SC7007	533146	MBAA	MBAA
SC7004	533146	MBAA	MBAA
SC7000	533146	MBAA	MBAA
SC6995	533146	MBAA	MBAA
SC6991	533146	MBAA	MBAA
SC6980	533146	MBAA	MBAA
SC6979	533146	MBAA	MBAA
SC6970	533146	MBAA	MBAA
SC6969	533146	MBAA	MBAA
SC6968	533146	MBAA	MBAA
SC6960	533146	MBAA	MBAA
SC6954	533146	MBAA	MBAA
SC6951	533146	MBAA	MBAA
SC6940	533146	MBAA	MBAA
SC6934	533146	MBAA	MBAA
SC6923	533146	MBAA	MBAA
SC6900	533146	MBAA	MBAA
SC6899	533146	MBAA	MBAA
SC6891	533146	MBAA	MBAA
SC6889	533146	MBAA	MBAA
SC6883	533146	MBAA	MBAA
SC6875	533146	MBAA	MBAA
SC6867	533146	MBAA	MBAA
SC6847	533146	MBAA	MBAA
SC6838	533146	MBAA	MBAA
SC6829	533146	MBAA	MBAA
SC6824	533146	MBAA	MBAA
SC6819	533146	MBAA	MBAA
SC6800	533146	MBAA	MBAA
SC6787	533146	MBAA	MBAA
SC6772	533146	MBAA	MBAA
SC6770	533146	MBAA	MBAA
SC6759	533146	MBAA	MBAA
SC6757	533146	MBAA	MBAA
SC6752	533146	MBAA	MBAA
SC6742	533146	MBAA	MBAA
SC6739	533146	MBAA	MBAA
SC6702	533146	MBAA	MBAA
SC6688	533146	MBAA	MBAA
SC6682	533146	MBAA	MBAA
SC6676	533146	MBAA	MBAA
SC6667	533146	MBAA	MBAA
SC6660	533146	MBAA	MBAA
SC6639	533146	MBAA	MBAA
SC7183	533146	MBAA	MBAA
SC7168	533146	MBAA	MBAA
SC7161	533146	MBAA	MBAA
SC7160	533146	MBAA	MBAA
SC7152	533146	MBAA	MBAA
SC7143	533146	MBAA	MBAA
SC7134	533146	MBAA	MBAA
SC7132	533146	MBAA	MBAA
SC7112	533146	MBAA	MBAA
SC7109	533146	MBAA	MBAA
SC7107	533146	MBAA	MBAA
SC7106	533146	MBAA	MBAA
SC7101	533146	MBAA	MBAA
SC7098	533146	MBAA	MBAA
SC7095	533146	MBAA	MBAA
SC7069	533146	MBAA	MBAA
SC7065	533146	MBAA	MBAA
SC7057	533146	MBAA	MBAA
SC7054	533146	MBAA	MBAA
SC7050	533146	MBAA	MBAA
SC7031	533146	MBAA	MBAA
SC7028	533146	MBAA	MBAA
SC7024	533146	MBAA	MBAA
SC7006	533146	MBAA	MBAA
SC6997	533146	MBAA	MBAA
SC6985	533146	MBAA	MBAA
SC6981	533146	MBAA	MBAA
SC6977	533146	MBAA	MBAA
SC6972	533146	MBAA	MBAA
SC6971	533146	MBAA	MBAA
SC6964	533146	MBAA	MBAA
SC6947	533146	MBAA	MBAA
SC6931	533146	MBAA	MBAA
SC6924	533146	MBAA	MBAA
SC6918	533146	MBAA	MBAA
SC6906	533146	MBAA	MBAA
SC6893	533146	MBAA	MBAA
SC6892	533146	MBAA	MBAA
SC6888	533146	MBAA	MBAA
SC6880	533146	MBAA	MBAA
SC6879	533146	MBAA	MBAA
SC6876	533146	MBAA	MBAA
SC6874	533146	MBAA	MBAA
SC6868	533146	MBAA	MBAA
SC6866	533146	MBAA	MBAA
SC6859	533146	MBAA	MBAA
SC6849	533146	MBAA	MBAA
