EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES847438	530417	FCM
ES847411	530417	FCM
ES847393	530417	FCM
ES847360	530417	FCM
ES847357	530417	FCM
ES847446	530418	FCM
ES847412	530418	FCM
ES847410	530418	FCM
ES847394	530418	FCM
ES847393	530418	FCM
ES847378	530418	FCM
ES847377	530418	FCM
ES847376	530418	FCM
ES847370	530418	FCM
ES847367	530418	FCM
ES847362	530418	FCM
ES847361	530418	FCM
ES847359	530418	FCM
ES847354	530418	FCM
ES847446	530419	FCM
ES847443	530419	FCM
ES847442	530419	FCM
ES847432	530419	FCM
ES847430	530419	FCM
ES847425	530419	FCM
ES847424	530419	FCM
ES847404	530419	FCM
ES847398	530419	FCM
ES847397	530419	FCM
ES847392	530419	FCM
ES847390	530419	FCM
ES847377	530419	FCM
ES847372	530419	FCM
ES847369	530419	FCM
ES847362	530419	FCM
ES847358	530419	FCM
ES847357	530419	FCM
ES847351	530419	FCM
ES847348	530419	FCM
ES847346	530419	FCM
ES847344	530419	FCM
ES847448	530420	FCM
ES847445	530420	FCM
ES847440	530420	FCM
ES847422	530420	FCM
ES847416	530420	FCM
ES847415	530420	FCM
ES847399	530420	FCM
ES847390	530420	FCM
ES847389	530420	FCM
ES847386	530420	FCM
ES847385	530420	FCM
ES847372	530420	FCM
ES847371	530420	FCM
ES847365	530420	FCM
ES847359	530420	FCM
ES847347	530420	FCM
ES847346	530420	FCM
ES847343	530420	FCM
ES847446	530421	FCM
ES847437	530421	FCM
ES847436	530421	FCM
ES847431	530421	FCM
ES847430	530421	FCM
ES847429	530421	FCM
ES847422	530421	FCM
ES847418	530421	FCM
ES847401	530421	FCM
ES847395	530421	FCM
ES847393	530421	FCM
ES847387	530421	FCM
ES847368	530421	FCM
ES847359	530421	FCM
ES847355	530421	FCM
ES847347	530421	FCM
ES847439	530422	FCM
ES847434	530422	FCM
ES847430	530422	FCM
ES847428	530422	FCM
ES847420	530422	FCM
ES847419	530422	FCM
ES847416	530422	FCM
ES847414	530422	FCM
ES847406	530422	FCM
ES847390	530422	FCM
ES847388	530422	FCM
ES847386	530422	FCM
ES847383	530422	FCM
ES847381	530422	FCM
ES847367	530422	FCM
ES847362	530422	FCM
ES847346	530422	FCM
ES847344	530422	FCM
ES847442	530423	FCM
ES847435	530423	FCM
ES847433	530423	FCM
ES847425	530423	FCM
ES847424	530423	FCM
ES847418	530423	FCM
ES847395	530423	FCM
ES847391	530423	FCM
ES847390	530423	FCM
ES847380	530423	FCM
ES847373	530423	FCM
ES847372	530423	FCM
ES847371	530423	FCM
ES847356	530437	FCM
ES847357	530438	FCM
ES847362	530443	FCM
ES847374	530455	FCM
ES847390	530471	FCM
ES847405	530486	FCM
ES847415	530496	FCM
ES847416	530497	FCM
ES847439	530520	FCM
ES847443	530524	FCM
ES847446	530527	FCM
ES847473	530532	OTHER
ES847461	530532	OTHER
ES847460	530532	OTHER
ES847458	530532	OTHER
ES847546	530532	OTHER
ES847528	530532	OTHER
ES847521	530532	OTHER
ES847509	530532	OTHER
ES847506	530532	OTHER
ES847505	530532	OTHER
ES847482	530532	OTHER
ES847478	530533	OTHER
ES847460	530533	OTHER
ES847545	530533	OTHER
ES847543	530533	OTHER
ES847541	530533	OTHER
ES847540	530533	OTHER
ES847529	530533	OTHER
ES847514	530533	OTHER
ES847505	530533	OTHER
ES847478	530534	OTHER
ES847469	530534	OTHER
ES847461	530534	OTHER
ES847544	530534	OTHER
ES847539	530534	OTHER
ES847531	530534	OTHER
ES847528	530534	OTHER
ES847526	530534	OTHER
ES847522	530534	OTHER
ES847514	530534	OTHER
ES847505	530534	OTHER
ES847489	530534	OTHER
ES847483	530534	OTHER
ES847481	530534	OTHER
ES847478	530535	OTHER
ES847453	530535	OTHER
ES847452	530535	OTHER
ES847540	530535	OTHER
ES847530	530535	OTHER
ES847520	530535	OTHER
ES847509	530535	OTHER
ES847503	530535	OTHER
ES847502	530535	OTHER
ES847475	530536	FCM
ES847467	530536	FCM
ES847543	530536	FCM
ES847524	530536	FCM
ES847521	530536	FCM
ES847518	530536	FCM
ES847514	530536	FCM
ES847499	530536	FCM
ES847493	530536	FCM
ES847485	530536	FCM
ES847467	530537	FCM
ES847462	530537	FCM
ES847456	530537	FCM
ES847454	530537	FCM
ES847453	530537	FCM
ES847547	530537	FCM
ES847545	530537	FCM
ES847529	530537	FCM
ES847510	530537	FCM
ES847498	530537	FCM
ES847493	530537	FCM
ES847457	530538	FCM
ES847521	530538	FCM
ES847520	530538	FCM
ES847519	530538	FCM
ES847481	530538	FCM
ES847478	530539	FCM
ES847467	530539	FCM
ES847461	530539	FCM
ES847458	530539	FCM
ES847452	530539	FCM
ES847547	530539	FCM
ES847545	530539	FCM
ES847543	530539	FCM
ES847540	530539	FCM
ES847535	530539	FCM
ES847531	530539	FCM
ES847514	530539	FCM
ES847505	530539	FCM
ES847503	530539	FCM
ES847482	530539	FCM
ES847475	530540	FCM
ES847464	530540	FCM
ES847533	530540	FCM
ES847527	530540	FCM
ES847519	530540	FCM
ES847517	530540	FCM
ES847503	530540	FCM
ES847491	530540	FCM
ES847488	530540	FCM
ES847482	530540	FCM
ES847473	530541	FCM
ES847471	530541	FCM
ES847460	530541	FCM
ES847459	530541	FCM
ES847451	530541	FCM
ES847547	530541	FCM
ES847541	530541	FCM
ES847528	530541	FCM
ES847516	530541	FCM
ES847515	530541	FCM
ES847507	530541	FCM
ES847496	530541	FCM
ES847494	530541	FCM
ES847482	530541	FCM
ES847478	530542	FCM
ES847469	530542	FCM
ES847463	530542	FCM
ES847461	530542	FCM
ES847458	530542	FCM
ES847452	530542	FCM
ES847537	530542	FCM
ES847521	530542	FCM
ES847518	530542	FCM
ES847501	530542	FCM
ES847495	530542	FCM
ES847480	530542	FCM
ES847452	530543	FCM
ES847541	530543	FCM
ES847531	530543	FCM
ES847520	530543	FCM
ES847514	530543	FCM
ES847506	530543	FCM
ES847502	530543	FCM
ES847499	530543	FCM
ES847493	530543	FCM
ES847469	530544	FCM
ES847466	530544	FCM
ES847465	530544	FCM
ES847547	530544	FCM
ES847545	530544	FCM
ES847535	530544	FCM
ES847530	530544	FCM
ES847525	530544	FCM
ES847516	530544	FCM
ES847513	530544	FCM
ES847512	530544	FCM
ES847511	530544	FCM
ES847494	530544	FCM
ES847471	530545	FCM
ES847453	530545	FCM
ES847452	530545	FCM
ES847541	530545	FCM
ES847534	530545	FCM
ES847531	530545	FCM
ES847526	530545	FCM
ES847514	530545	FCM
ES847511	530545	FCM
ES847508	530545	FCM
ES847506	530545	FCM
ES847492	530545	FCM
ES847489	530545	FCM
ES847484	530545	FCM
ES847483	530545	FCM
ES847482	530545	FCM
ES847468	530563	FCM
ES847477	530572	FCM
ES847483	530578	FCM
ES847484	530579	FCM
ES847485	530580	FCM
ES847493	530588	FCM
ES847496	530591	FCM
ES847503	530598	FCM
ES847510	530605	FCM
ES847526	530621	FCM
ES847528	530623	FCM
ES847530	530625	FCM
ES847532	530627	FCM
ES847535	530630	FCM
ES847539	530634	FCM
ES847549	530644	FCM
ES847567	530645	OTHER
ES847561	530645	OTHER
ES847551	530646	OTHER
ES847569	530647	OTHER
ES847568	530647	OTHER
ES847559	530647	OTHER
ES847554	530647	OTHER
ES847562	530648	FCM
ES847556	530648	FCM
ES847571	530649	FCM
ES847551	530649	FCM
ES847559	530650	FCM
ES847558	530650	FCM
ES847567	530651	FCM
ES847561	530651	FCM
ES847557	530651	FCM
ES847551	530651	FCM
ES847565	530652	FCM
ES847561	530652	FCM
ES847553	530652	FCM
ES847566	530653	FCM
ES847564	530653	FCM
ES847563	530653	FCM
ES847556	530653	FCM
ES847551	530653	FCM
ES847549	530653	FCM
ES847575	530654	FCM
ES847565	530654	FCM
ES847562	530654	FCM
ES847561	530654	FCM
ES847552	530654	FCM
ES847551	530654	FCM
ES847550	530654	FCM
ES847549	530654	FCM
ES847574	530655	FCM
ES847568	530655	FCM
ES847566	530655	FCM
ES847561	530655	FCM
ES847550	530655	FCM
ES847562	530656	FCM
ES847558	530656	FCM
ES847552	530656	FCM
ES847566	530657	FCM
ES847565	530657	FCM
ES847559	530657	FCM
ES847574	530658	FCM
ES847564	530658	FCM
ES847562	530658	FCM
ES847557	530658	FCM
ES847558	530659	FCM
ES847574	530660	FCM
ES847569	530660	FCM
ES847565	530660	FCM
ES847559	530660	FCM
ES847558	530660	FCM
ES847568	530661	FCM
ES847565	530661	FCM
ES847551	530661	FCM
ES847549	530661	FCM
ES847550	530662	FCM
ES847565	530677	FCM
ES847569	530681	FCM
ES847574	530686	FCM
ES847602	530689	OTHER
ES847600	530689	OTHER
ES847577	530689	OTHER
ES847576	530689	OTHER
ES847591	530690	OTHER
ES847586	530690	OTHER
ES847579	530690	OTHER
ES847599	530691	OTHER
ES847598	530691	OTHER
ES847588	530691	OTHER
ES847584	530691	OTHER
ES847581	530691	OTHER
ES847576	530691	OTHER
ES847599	530692	FCM
ES847597	530692	FCM
ES847594	530693	FCM
ES847590	530693	FCM
ES847585	530693	FCM
ES847582	530693	FCM
ES847579	530694	FCM
ES847576	530694	FCM
ES847605	530723	OTHER
ES847603	530723	OTHER
ES847616	530724	FCM
ES847613	530724	FCM
ES847611	530724	FCM
ES847623	530725	FCM
ES847620	530725	FCM
ES847613	530725	FCM
ES847609	530725	FCM
ES847608	530725	FCM
ES847606	530725	FCM
ES847619	530726	FCM
ES847616	530726	FCM
ES847623	530727	FCM
ES847613	530727	FCM
ES847609	530727	FCM
ES847610	530734	FCM
ES847614	530738	FCM
ES847622	530746	FCM
ES847639	530752	OTHER
ES847637	530752	OTHER
ES847637	530753	OTHER
ES847627	530753	OTHER
ES847637	530754	FCM
ES847628	530754	FCM
ES847628	530755	FCM
ES847632	530761	FCM
ES847638	530767	FCM
ES847640	530769	FCM
ES847693	530770	OTHER
ES847684	530770	OTHER
ES847672	530770	OTHER
ES847665	530770	OTHER
ES847654	530770	OTHER
ES847652	530770	OTHER
ES847650	530770	OTHER
ES847647	530770	OTHER
ES847642	530770	OTHER
ES847733	530770	OTHER
ES847728	530770	OTHER
ES847725	530770	OTHER
ES847724	530770	OTHER
ES847723	530770	OTHER
ES847720	530770	OTHER
ES847717	530770	OTHER
ES847697	530771	OTHER
ES847696	530771	OTHER
ES847684	530771	OTHER
ES847673	530771	OTHER
ES847671	530771	OTHER
ES847664	530771	OTHER
ES847660	530771	OTHER
ES847640	530771	OTHER
ES847735	530771	OTHER
ES847731	530771	OTHER
ES847729	530771	OTHER
ES847726	530771	OTHER
ES847704	530771	OTHER
ES847702	530771	OTHER
ES847697	530772	OTHER
ES847688	530772	OTHER
ES847677	530772	OTHER
ES847673	530772	OTHER
ES847672	530772	OTHER
ES847667	530772	OTHER
ES847729	530772	OTHER
ES847722	530772	OTHER
ES847714	530772	OTHER
ES847706	530772	OTHER
ES847700	530772	OTHER
ES847699	530773	OTHER
ES847691	530773	OTHER
ES847682	530773	OTHER
ES847673	530773	OTHER
ES847666	530773	OTHER
ES847665	530773	OTHER
ES847661	530773	OTHER
ES847659	530773	OTHER
ES847653	530773	OTHER
ES847647	530773	OTHER
ES847640	530773	OTHER
ES847731	530773	OTHER
ES847726	530773	OTHER
ES847721	530773	OTHER
ES847710	530773	OTHER
ES847708	530773	OTHER
ES847706	530773	OTHER
ES847703	530773	OTHER
ES847701	530773	OTHER
ES847685	530774	OTHER
ES847678	530774	OTHER
ES847648	530774	OTHER
ES847725	530774	OTHER
ES847710	530774	OTHER
ES847705	530774	OTHER
