EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES851229	H51-1	364	1	
ES851231	H51-1	364	1	
ES851259	H51-1	366	1	
ES851271	H51-1	366	1	
ES851273	H51-1	366	1	
ES851277	H51-1	366	1	
ES851292	H51-1	366	1	
ES851293	H51-1	366	1	
ES851300	H51-1	366	1	
ES851331	H51-1	366	1	
ES850721	H51-2	2777	3	
ES850728	H51-2	2778	3	
ES850738	H51-2	2777	3	
ES850751	H51-2	2782	1	
ES850757	H51-2	2777	3	
ES850767	H51-2	2777	3	
ES850787	H51-2	2777	3	
ES850822	H51-2	2780	3	
ES850825	H51-2	2780	3	
ES850829	H51-2	2778	3	
ES850832	H51-2	2778	3	
ES850844	H51-2	2778	3	
ES850846	H51-2	2778	3	
ES850850	H51-2	2778	3	
ES850855	H51-2	2778	3	
ES850867	H51-2	2778	3	
ES850885	H51-2	2778	3	
ES850886	H51-2	2778	3	
ES850890	H51-2	2778	3	
ES850899	H51-2	2778	3	
ES850901	H51-2	2778	3	
ES850903	H51-2	2778	3	
ES850909	H51-2	2780	3	
ES850911	H51-2	2780	3	
ES850916	H51-2	2779	3	
ES850945	H51-2	2779	3	
ES850947	H51-2	2779	3	
ES850953	H51-2	2779	3	
ES850967	H51-2	2779	3	
ES850975	H51-2	2779	3	
ES850977	H51-2	2779	3	
ES850980	H51-2	2782	1	
ES850982	H51-2	2782	1	
ES850986	H51-2	2782	1	
ES850987	H51-2	2779	3	
ES850998	H51-2	2779	3	
ES850999	H51-2	2779	3	
ES851004	H51-2	2779	3	
ES851005	H51-2	2779	3	
ES851015	H51-2	2781	3	
ES851017	H51-2	2781	3	
ES851025	H51-2	2781	3	
ES851026	H51-2	2781	3	
ES851042	H51-2	2781	3	
ES851050	H51-2	2781	3	
ES851051	H51-2	2781	3	
ES851072	H51-2	2781	3	
ES851076	H51-2	2781	3	
ES851078	H51-2	2781	3	
ES851086	H51-2	2781	3	
ES851087	H51-2	2781	3	
ES851091	H51-2	2781	3	
ES851125	H51-2	2782	1	
ES851127	H51-2	2782	1	
ES851141	H51-2	2780	3	
ES851142	H51-2	2780	3	
ES851151	H51-2	2780	3	
ES851157	H51-2	2782	1	
ES851161	H51-1	362	1	
ES851164	H51-1	362	1	
ES851166	H51-1	362	1	
ES851171	H51-1	362	1	
ES851190	H51-1	364	1	
ES851196	H51-1	364	1	
ES851198	H51-1	364	1	
ES851216	H51-1	364	1	
ES851220	H51-1	364	1	
ES851222	H51-1	364	1	
ES851239	H51-1	364	1	
ES851243	H51-1	364	1	
