FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
232971	8		AmCyan-A	CXCR5	CXCR5
232980	21		PE-Cy5-A		STK39
232980	4		SSC-A		SSC-A
232981	24		Time		Time
232981	2		FSC-H		FSC-H
232981	6		SSC-W		SSC-W
232998	15		APC-A		HEYL
232998	6		SSC-W		SSC-W
232998	11		610/20 Violet-A	PTPRC	CD45RA
232998	4		SSC-A		SSC-A
233003	13		710/50 Violet-A	CD27	CD27
233003	15		APC-A		HEYL
233007	12		660/40 Violet-A	CD4	CD4
233007	6		SSC-W		SSC-W
233007	10		585/42 Violet-A	CD3E	CD3
233007	21		PE-Cy5-A		SirT2
233007	19		PE-A		p16
233007	23		PE-Cy7-A	ICOS	ICOS
233045	17		APC-Cy7-A		CD14-16-19dead
233045	20		PE-TxRed-A		PPARg
233045	15		APC-A		HEYL
233053	24		Time		Time
233053	13		710/50 Violet-A	CD27	CD27
233053	22		PE-Cy5-5-A	CD4	CD4
233053	21		PE-Cy5-A	ICOS	ICOS
233091	5		SSC-H		SSC-H
233091	20		PE-TxRed-A	CD28	CD28
233091	14		780/60 Violet-A	CD38	CD38
232728	17		APC-Cy7-A		CD14-16-19dead
232728	9		560/40 Violet-A	CD8A	CD8
232787	8		AmCyan-A	CXCR5	CXCR5
232787	7		Pacific Blue-A	PDCD1	PD1
232787	14		780/60 Violet-A	CD38	CD38
232787	15		APC-A		HEYL
232780	22		PE-Cy5-5-A		PE-Cy5-5-A
232780	6		SSC-W		SSC-W
233014	7		Pacific Blue-A	PDCD1	PD1
233014	6		SSC-W		SSC-W
233014	11		610/20 Violet-A	PTPRC	CD45RA
233016	9		560/40 Violet-A	CD8A	CD8
233016	8		AmCyan-A	CXCR5	CXCR5
233016	5		SSC-H		SSC-H
233016	24		Time		Time
233016	22		PE-Cy5-5-A		Foxo1
233016	11		610/20 Violet-A	PTPRC	CD45RA
233019	7		Pacific Blue-A	PDCD1	PD1
233019	6		SSC-W		SSC-W
