BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752702	ES834849	EXP13921
BS752702	ES834847	EXP13921
BS752703	ES834853	EXP13921
BS752703	ES848146	EXP13922
BS752703	ES848145	EXP13922
BS752704	ES834863	EXP13921
BS752704	ES848150	EXP13922
BS752704	ES848148	EXP13922
BS752705	ES834869	EXP13921
BS752705	ES848156	EXP13922
BS752706	ES834876	EXP13921
BS752706	ES834872	EXP13921
BS752706	ES848163	EXP13922
BS752707	ES834882	EXP13921
BS752708	ES834885	EXP13921
BS752708	ES848175	EXP13922
BS752708	ES848171	EXP13922
BS769824	ES850728	EXP13950
BS769824	ES851161	EXP13950
BS769831	ES851172	EXP13950
BS769853	ES850904	EXP13950
BS769857	ES850927	EXP13950
BS769858	ES850934	EXP13950
BS769863	ES850963	EXP13950
BS769864	ES850969	EXP13950
BS769865	ES851232	EXP13950
BS769866	ES850982	EXP13950
BS769871	ES851015	EXP13950
BS769877	ES851054	EXP13950
BS769880	ES851270	EXP13950
BS769880	ES851072	EXP13950
BS769882	ES851089	EXP13950
BS769885	ES851106	EXP13950
BS769886	ES851113	EXP13950
BS769892	ES851148	EXP13950
BS752710	ES848191	EXP13922
BS752710	ES848190	EXP13922
BS752711	ES834912	EXP13921
BS752711	ES834906	EXP13921
BS752713	ES834925	EXP13921
BS752713	ES834923	EXP13921
BS752713	ES834921	EXP13921
BS752713	ES848210	EXP13922
BS752714	ES834929	EXP13921
BS752714	ES848213	EXP13922
BS752715	ES834938	EXP13921
BS752715	ES848224	EXP13922
BS752716	ES834944	EXP13921
BS752716	ES848230	EXP13922
BS752719	ES834965	EXP13921
BS752719	ES834962	EXP13921
BS752720	ES834975	EXP13921
BS752720	ES848253	EXP13922
BS752720	ES848250	EXP13922
BS752721	ES834979	EXP13921
BS752721	ES834978	EXP13921
BS752721	ES848260	EXP13922
BS752722	ES834989	EXP13921
BS752722	ES834987	EXP13921
BS752722	ES834986	EXP13921
BS752722	ES848266	EXP13922
BS752723	ES834996	EXP13921
BS752724	ES835001	EXP13921
BS752724	ES834998	EXP13921
BS752724	ES848273	EXP13922
BS752726	ES848290	EXP13922
BS752727	ES835023	EXP13921
BS752728	ES835030	EXP13921
BS752728	ES835028	EXP13921
BS752728	ES848301	EXP13922
BS752729	ES835035	EXP13921
BS752729	ES848306	EXP13922
BS752732	ES848393	EXP13922
BS752733	ES835066	EXP13921
BS752733	ES835063	EXP13921
BS752733	ES835060	EXP13921
BS752733	ES848402	EXP13922
BS752734	ES835072	EXP13921
BS752735	ES835075	EXP13921
BS752735	ES848433	EXP13922
BS752735	ES848426	EXP13922
BS752736	ES848451	EXP13922
BS752736	ES848409	EXP13922
BS752736	ES848405	EXP13922
BS752200	ES850719	EXP13950
BS752202	ES850726	EXP13950
BS752203	ES850729	EXP13950
BS752204	ES851164	EXP13950
BS752206	ES833749	EXP13915
BS752210	ES850747	EXP13950
BS752211	ES850756	EXP13950
BS752214	ES850766	EXP13950
BS752214	ES850765	EXP13950
BS752221	ES833764	EXP13915
BS752223	ES833766	EXP13915
BS752224	ES850795	EXP13950
BS752225	ES850806	EXP13950
BS752232	ES851176	EXP13950
BS752234	ES851183	EXP13950
BS752240	ES851188	EXP13950
BS752241	ES850857	EXP13950
BS752244	ES851194	EXP13950
BS752246	ES850871	EXP13950
BS752246	ES833789	EXP13915
BS752248	ES850877	EXP13950
BS752252	ES850890	EXP13950
BS752252	ES833795	EXP13915
BS752254	ES851201	EXP13950
BS752254	ES851200	EXP13950
BS752255	ES833798	EXP13915
BS752257	ES851210	EXP13950
BS752258	ES833801	EXP13915
