EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES850867	EXP13950	H51-2	2778	3		2883
ES850882	EXP13950	H51-2	2780	3		2883
ES850901	EXP13950	H51-2	2778	3		2883
ES850907	EXP13950	H51-2	2780	3		2883
ES850930	EXP13950	H51-2	2779	3		2883
ES850948	EXP13950	H51-2	2779	3		2883
ES850951	EXP13950	H51-2	2779	3		2883
ES850954	EXP13950	H51-2	2779	3		2883
ES850956	EXP13950	H51-2	2780	3		2883
ES850957	EXP13950	H51-2	2780	3		2883
ES850979	EXP13950	H51-2	2782	1		2883
ES850981	EXP13950	H51-2	2779	3		2883
ES850982	EXP13950	H51-2	2782	1		2883
ES850986	EXP13950	H51-2	2782	1		2883
ES850987	EXP13950	H51-2	2779	3		2883
ES850992	EXP13950	H51-2	2779	3		2883
ES851007	EXP13950	H51-2	2779	3		2883
ES851008	EXP13950	H51-2	2779	3		2883
ES851011	EXP13950	H51-2	2779	3		2883
ES851012	EXP13950	H51-2	2781	3		2883
ES851051	EXP13950	H51-2	2781	3		2883
ES851053	EXP13950	H51-2	2781	3		2883
ES851057	EXP13950	H51-2	2781	3		2883
ES851061	EXP13950	H51-2	2781	3		2883
ES851071	EXP13950	H51-2	2781	3		2883
ES851166	EXP13950	H51-1	362	1		2883
ES851181	EXP13950	H51-1	364	1		2883
ES851184	EXP13950	H51-1	364	1		2883
ES851195	EXP13950	H51-1	364	1		2883
ES851214	EXP13950	H51-1	364	1		2883
ES851219	EXP13950	H51-1	364	1		2883
ES851223	EXP13950	H51-1	364	1		2883
ES851240	EXP13950	H51-1	364	1		2883
ES851242	EXP13950	H51-1	364	1		2883
ES851248	EXP13950	H51-1	364	1		2883
ES851266	EXP13950	H51-1	366	1		2883
ES851267	EXP13950	H51-1	366	1		2883
ES851270	EXP13950	H51-1	366	1		2883
ES851277	EXP13950	H51-1	366	1		2883
ES851279	EXP13950	H51-1	366	1		2883
ES851292	EXP13950	H51-1	366	1		2883
ES851308	EXP13950	H51-1	366	1		2883
ES851321	EXP13950	H51-1	366	1		2883
ES851329	EXP13950	H51-1	366	1		2883
ES851082	EXP13950	H51-2	2781	3		2883
ES851087	EXP13950	H51-2	2781	3		2883
ES851092	EXP13950	H51-2	2781	3		2883
ES851112	EXP13950	H51-2	2780	3		2883
ES851115	EXP13950	H51-2	2780	3		2883
ES851125	EXP13950	H51-2	2782	1		2883
ES851130	EXP13950	H51-2	2780	3		2883
ES851133	EXP13950	H51-2	2780	3		2883
ES851142	EXP13950	H51-2	2780	3		2883
ES851144	EXP13950	H51-2	2780	3		2883
ES851151	EXP13950	H51-2	2780	3		2883
ES851160	EXP13950	H51-1	362	1		2883
ES850725	EXP13950	H51-2	2778	3		2883
ES850732	EXP13950	H51-2	2778	3		2883
ES850740	EXP13950	H51-2	2777	3		2883
ES850753	EXP13950	H51-2	2777	3		2883
ES850765	EXP13950	H51-2	2777	3		2883
ES850775	EXP13950	H51-2	2778	3		2883
ES850780	EXP13950	H51-2	2778	3		2883
ES850790	EXP13950	H51-2	2777	3		2883
ES850795	EXP13950	H51-2	2782	1		2883
ES850805	EXP13950	H51-2	2777	3		2883
ES850809	EXP13950	H51-2	2777	3		2883
ES850833	EXP13950	H51-2	2778	3		2883
ES850845	EXP13950	H51-2	2778	3		2883
ES850852	EXP13950	H51-2	2778	3		2883
ES850864	EXP13950	H51-2	2780	3		2883
ES850883	EXP13950	H51-2	2778	3		2883
ES850884	EXP13950	H51-2	2778	3		2883
ES850887	EXP13950	H51-2	2778	3		2883
ES850893	EXP13950	H51-2	2778	3		2883
ES850895	EXP13950	H51-2	2778	3		2883
ES850898	EXP13950	H51-2	2778	3		2883
ES850909	EXP13950	H51-2	2780	3		2883
ES850917	EXP13950	H51-2	2779	3		2883
ES850928	EXP13950	H51-2	2779	3		2883
ES850929	EXP13950	H51-2	2779	3		2883
ES850932	EXP13950	H51-2	2779	3		2883
ES850947	EXP13950	H51-2	2779	3		2883
ES850950	EXP13950	H51-2	2779	3		2883
ES850958	EXP13950	H51-2	2780	3		2883
ES850959	EXP13950	H51-2	2780	3		2883
ES850978	EXP13950	H51-2	2779	3		2883
ES850967	EXP13950	H51-2	2779	3		2883
ES850971	EXP13950	H51-2	2779	3		2883
ES850973	EXP13950	H51-2	2779	3		2883
ES850998	EXP13950	H51-2	2779	3		2883
ES851016	EXP13950	H51-2	2781	3		2883
ES851021	EXP13950	H51-2	2781	3		2883
ES851028	EXP13950	H51-2	2781	3		2883
ES851039	EXP13950	H51-2	2782	1		2883
ES851040	EXP13950	H51-2	2781	3		2883
ES851041	EXP13950	H51-2	2781	3		2883
ES851060	EXP13950	H51-2	2781	3		2883
ES851067	EXP13950	H51-2	2782	1		2883
ES851069	EXP13950	H51-2	2782	1		2883
ES851075	EXP13950	H51-2	2781	3		2883
ES851076	EXP13950	H51-2	2781	3		2883
ES851161	EXP13950	H51-1	362	1		2883
ES851165	EXP13950	H51-1	362	1		2883
ES851170	EXP13950	H51-1	362	1		2883
ES851173	EXP13950	H51-1	362	1		2883
ES851174	EXP13950	H51-1	362	1		2883
ES851183	EXP13950	H51-1	364	1		2883
ES851187	EXP13950	H51-1	364	1		2883
ES851191	EXP13950	H51-1	364	1		2883
ES851196	EXP13950	H51-1	364	1		2883
ES851200	EXP13950	H51-1	364	1		2883
ES851205	EXP13950	H51-1	364	1		2883
ES851206	EXP13950	H51-1	364	1		2883
ES851216	EXP13950	H51-1	364	1		2883
ES851260	EXP13950	H51-1	366	1		2883
ES851265	EXP13950	H51-1	366	1		2883
ES851295	EXP13950	H51-1	366	1		2883
ES851301	EXP13950	H51-1	366	1		2883
ES851307	EXP13950	H51-1	366	1		2883
ES851328	EXP13950	H51-1	366	1		2883
ES851330	EXP13950	H51-1	366	1		2883
ES851085	EXP13950	H51-2	2781	3		2883
ES851089	EXP13950	H51-2	2781	3		2883
ES851094	EXP13950	H51-2	2781	3		2883
ES851098	EXP13950	H51-2	2781	3		2883
ES851099	EXP13950	H51-2	2781	3		2883
ES851109	EXP13950	H51-2	2780	3		2883
ES851110	EXP13950	H51-2	2780	3		2883
ES851136	EXP13950	H51-2	2780	3		2883
ES851145	EXP13950	H51-2	2780	3		2883
ES850724	EXP13950	H51-2	2777	3		2883
ES850726	EXP13950	H51-2	2778	3		2883
ES850730	EXP13950	H51-2	2778	3		2883
ES850744	EXP13950	H51-2	2777	3		2883
ES850768	EXP13950	H51-2	2777	3		2883
ES850771	EXP13950	H51-2	2778	3		2883
ES850781	EXP13950	H51-2	2778	3		2883
ES850785	EXP13950	H51-2	2777	3		2883
ES850791	EXP13950	H51-2	2777	3		2883
ES850792	EXP13950	H51-2	2777	3		2883
ES850796	EXP13950	H51-2	2782	1		2883
ES850797	EXP13950	H51-2	2777	3		2883
ES850798	EXP13950	H51-2	2777	3		2883
ES850808	EXP13950	H51-2	2777	3		2883
ES850813	EXP13950	H51-2	2777	3		2883
ES850819	EXP13950	H51-2	2780	3		2883
ES850825	EXP13950	H51-2	2780	3		2883
ES850831	EXP13950	H51-2	2778	3		2883
ES850838	EXP13950	H51-2	2778	3		2883
ES850842	EXP13950	H51-2	2778	3		2883
ES850844	EXP13950	H51-2	2778	3		2883
ES850848	EXP13950	H51-2	2778	3		2883
ES850858	EXP13950	H51-2	2778	3		2883
ES850860	EXP13950	H51-2	2780	3		2883
ES850875	EXP13950	H51-2	2780	3		2883
ES850877	EXP13950	H51-2	2780	3		2883
ES850903	EXP13950	H51-2	2778	3		2883
ES850913	EXP13950	H51-2	2779	3		2883
ES850915	EXP13950	H51-2	2779	3		2883
ES850920	EXP13950	H51-2	2779	3		2883
ES850935	EXP13950	H51-2	2779	3		2883
ES850941	EXP13950	H51-2	2780	3		2883
ES850949	EXP13950	H51-2	2779	3		2883
ES850952	EXP13950	H51-2	2779	3		2883
ES850953	EXP13950	H51-2	2779	3		2883
ES850964	EXP13950	H51-2	2779	3		2883
ES850972	EXP13950	H51-2	2779	3		2883
ES850989	EXP13950	H51-2	2779	3		2883
ES850990	EXP13950	H51-2	2779	3		2883
ES850996	EXP13950	H51-2	2779	3		2883
ES850997	EXP13950	H51-2	2779	3		2883
ES851001	EXP13950	H51-2	2779	3		2883
ES851005	EXP13950	H51-2	2779	3		2883
ES851014	EXP13950	H51-2	2781	3		2883
ES851015	EXP13950	H51-2	2781	3		2883
ES851023	EXP13950	H51-2	2781	3		2883
ES851030	EXP13950	H51-2	2781	3		2883
ES851031	EXP13950	H51-2	2781	3		2883
ES851042	EXP13950	H51-2	2781	3		2883
ES851054	EXP13950	H51-2	2781	3		2883
ES851056	EXP13950	H51-2	2781	3		2883
ES851066	EXP13950	H51-2	2782	1		2883
ES851162	EXP13950	H51-1	362	1		2883
ES851168	EXP13950	H51-1	362	1		2883
ES851179	EXP13950	H51-1	364	1		2883
ES851186	EXP13950	H51-1	364	1		2883
ES851218	EXP13950	H51-1	364	1		2883
ES851224	EXP13950	H51-1	364	1		2883
ES851229	EXP13950	H51-1	364	1		2883
ES851231	EXP13950	H51-1	364	1		2883
ES851233	EXP13950	H51-1	364	1		2883
ES851243	EXP13950	H51-1	364	1		2883
ES851246	EXP13950	H51-1	364	1		2883
ES851251	EXP13950	H51-1	364	1		2883
ES851255	EXP13950	H51-1	366	1		2883
ES851257	EXP13950	H51-1	366	1		2883
ES851258	EXP13950	H51-1	366	1		2883
ES851280	EXP13950	H51-1	366	1		2883
ES851288	EXP13950	H51-1	366	1		2883
ES851303	EXP13950	H51-1	366	1		2883
ES851305	EXP13950	H51-1	366	1		2883
ES851318	EXP13950	H51-1	366	1		2883
ES851322	EXP13950	H51-1	366	1		2883
ES851326	EXP13950	H51-1	366	1		2883
ES851101	EXP13950	H51-2	2781	3		2883
ES851111	EXP13950	H51-2	2780	3		2883
ES851124	EXP13950	H51-2	2782	1		2883
ES851126	EXP13950	H51-2	2782	1		2883
ES851129	EXP13950	H51-2	2780	3		2883
ES851132	EXP13950	H51-2	2780	3		2883
ES851140	EXP13950	H51-2	2780	3		2883
ES850720	EXP13950	H51-2	2777	3		2883
ES850723	EXP13950	H51-2	2777	3		2883
ES850729	EXP13950	H51-2	2778	3		2883
ES850759	EXP13950	H51-2	2777	3		2883
