FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_251_1.728601.fcs,export_251_1.fcs,ES1231661,1,PBMC,BS808008,09-H1-0239 flow cytometry T3,728601,Flow Cytometry
export_251_7.728602.fcs,export_251_7.fcs,ES1231662,7,PBMC,BS808009,09-H1-0239 flow cytometry T3,728602,Flow Cytometry
export_251_70.728603.fcs,export_251_70.fcs,ES1231663,70,PBMC,BS808011,09-H1-0239 flow cytometry T3,728603,Flow Cytometry
export_251_pre.728604.fcs,export_251_pre.fcs,ES1231664,-7,PBMC,BS808010,09-H1-0239 flow cytometry T3,728604,Flow Cytometry
export_254_0.728605.fcs,export_254_0.fcs,ES1231665,0,PBMC,BS1007348,09-H1-0239 flow cytometry T3,728605,Flow Cytometry
export_254_1.728606.fcs,export_254_1.fcs,ES1231666,1,PBMC,BS808012,09-H1-0239 flow cytometry T3,728606,Flow Cytometry
export_254_7.728607.fcs,export_254_7.fcs,ES1231667,7,PBMC,BS1007349,09-H1-0239 flow cytometry T3,728607,Flow Cytometry
export_254_70.728608.fcs,export_254_70.fcs,ES1231668,70,PBMC,BS808014,09-H1-0239 flow cytometry T3,728608,Flow Cytometry
export_254_pre.728609.fcs,export_254_pre.fcs,ES1231669,-7,PBMC,BS808013,09-H1-0239 flow cytometry T3,728609,Flow Cytometry
export_256_0.728610.fcs,export_256_0.fcs,ES1231670,0,PBMC,BS808015,09-H1-0239 flow cytometry T3,728610,Flow Cytometry
export_256_1.728611.fcs,export_256_1.fcs,ES1231671,1,PBMC,BS808016,09-H1-0239 flow cytometry T3,728611,Flow Cytometry
export_256_7.728612.fcs,export_256_7.fcs,ES1231672,7,PBMC,BS1007350,09-H1-0239 flow cytometry T3,728612,Flow Cytometry
export_256_70.728613.fcs,export_256_70.fcs,ES1231673,70,PBMC,BS808018,09-H1-0239 flow cytometry T3,728613,Flow Cytometry
export_256_pre.728614.fcs,export_256_pre.fcs,ES1231674,-7,PBMC,BS808017,09-H1-0239 flow cytometry T3,728614,Flow Cytometry
export_257_0.728615.fcs,export_257_0.fcs,ES1231675,0,PBMC,BS808019,09-H1-0239 flow cytometry T3,728615,Flow Cytometry
export_257_1.728616.fcs,export_257_1.fcs,ES1231676,1,PBMC,BS808020,09-H1-0239 flow cytometry T3,728616,Flow Cytometry
export_257_7.728617.fcs,export_257_7.fcs,ES1231677,7,PBMC,BS1007351,09-H1-0239 flow cytometry T3,728617,Flow Cytometry
export_257_70.728618.fcs,export_257_70.fcs,ES1231678,70,PBMC,BS808022,09-H1-0239 flow cytometry T3,728618,Flow Cytometry
export_257_pre.728619.fcs,export_257_pre.fcs,ES1231679,-7,PBMC,BS808021,09-H1-0239 flow cytometry T3,728619,Flow Cytometry
export_259_0.728620.fcs,export_259_0.fcs,ES1231680,0,PBMC,BS808023,09-H1-0239 flow cytometry T3,728620,Flow Cytometry
export_246_pre 7.727478.fcs,export_246_pre 7.fcs,ES1230643,-7,PBMC,BS807992,09-H1-0239 flow cytometry B2,727478,Flow Cytometry
export_244_pre 7.727476.fcs,export_244_pre 7.fcs,ES1230641,-7,PBMC,BS807983,09-H1-0239 flow cytometry B2,727476,Flow Cytometry
export_245_pre 7.727477.fcs,export_245_pre 7.fcs,ES1230642,-7,PBMC,BS807987,09-H1-0239 flow cytometry B2,727477,Flow Cytometry
export_248_pre 7.727479.fcs,export_248_pre 7.fcs,ES1230644,-7,PBMC,BS807997,09-H1-0239 flow cytometry B2,727479,Flow Cytometry
export_249_pre 7.727480.fcs,export_249_pre 7.fcs,ES1230645,-7,PBMC,BS808001,09-H1-0239 flow cytometry B2,727480,Flow Cytometry
export_251_pre 7.727481.fcs,export_251_pre 7.fcs,ES1230646,-7,PBMC,BS808010,09-H1-0239 flow cytometry B2,727481,Flow Cytometry
export_254_pre 7.727482.fcs,export_254_pre 7.fcs,ES1230647,-7,PBMC,BS808013,09-H1-0239 flow cytometry B2,727482,Flow Cytometry
export_256_pre 7.727483.fcs,export_256_pre 7.fcs,ES1230648,-7,PBMC,BS808017,09-H1-0239 flow cytometry B2,727483,Flow Cytometry
export_257_pre 7.727484.fcs,export_257_pre 7.fcs,ES1230649,-7,PBMC,BS808021,09-H1-0239 flow cytometry B2,727484,Flow Cytometry
export_259_pre 7.727485.fcs,export_259_pre 7.fcs,ES1230650,-7,PBMC,BS808025,09-H1-0239 flow cytometry B2,727485,Flow Cytometry
export_260_pre 7.727486.fcs,export_260_pre 7.fcs,ES1230651,-7,PBMC,BS808029,09-H1-0239 flow cytometry B2,727486,Flow Cytometry
export_261_pre 7.727487.fcs,export_261_pre 7.fcs,ES1230652,-7,PBMC,BS808034,09-H1-0239 flow cytometry B2,727487,Flow Cytometry
