BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS909882	ES1031582
BS909882	ES1031581
BS909884	ES1031596
BS909885	ES1060545
BS909885	ES1031603
BS909885	ES1031602
BS909886	ES1060547
BS909888	ES1031620
BS909889	ES1031623
BS909890	ES1062867
BS909890	ES1031631
BS909891	ES1031638
BS917675	ES1060515
BS910332	ES1036052
BS910332	ES1035485
BS910333	ES1036242
BS910333	ES1035297
BS910336	ES1036434
BS910336	ES1036056
BS910337	ES1036435
BS910337	ES1036246
BS910337	ES1035490
BS910338	ES1036436
BS910338	ES1035302
BS910339	ES1035870
BS910340	ES1036439
BS910340	ES1035304
BS910341	ES1035872
BS910341	ES1036061
BS910342	ES1035873
BS910343	ES1036630
BS910347	ES1036256
BS910347	ES1035689
BS910348	ES1035879
BS910349	ES1035880
BS910349	ES1035313
BS910349	ES1036636
BS910351	ES1035882
BS910351	ES1035504
BS910354	ES1036074
BS910354	ES1035507
BS910356	ES1036454
BS910356	ES1035698
BS910357	ES1035888
BS910360	ES1035513
BS910360	ES1035324
BS910362	ES1035515
BS910363	ES1036461
BS910363	ES1035327
BS910364	ES1035517
BS910365	ES1035896
