EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES815431	TRT1609
ES815436	TRT1609
ES815437	TRT1609
ES815448	TRT1609
ES815456	TRT1609
ES815470	TRT1609
ES815476	TRT1609
ES774505	TRT1191
ES860651	TRT1753
ES860656	TRT492
ES860707	TRT1755
ES860708	TRT494
ES860724	TRT1754
ES860727	TRT495
ES860728	TRT492
ES860744	TRT494
ES860751	TRT495
ES860752	TRT492
ES860753	TRT1753
ES860756	TRT494
ES860778	TRT1754
ES860788	TRT492
ES860815	TRT1755
ES860818	TRT492
ES860821	TRT1755
ES860824	TRT492
ES860827	TRT1755
ES782604	TRT1336
ES782616	TRT1336
ES782625	TRT1336
ES782628	TRT1336
ES782629	TRT1336
ES782635	TRT1336
ES782640	TRT1336
ES782643	TRT1336
ES782645	TRT1336
ES782648	TRT1336
ES782659	TRT1336
ES782668	TRT1336
ES782676	TRT1336
ES782681	TRT1336
ES782682	TRT1336
ES782709	TRT1336
ES782725	TRT1336
ES782750	TRT1336
ES782755	TRT1336
ES782756	TRT1336
ES782758	TRT1336
ES782769	TRT1336
ES782770	TRT1336
ES782779	TRT1336
ES782780	TRT1336
ES782782	TRT1336
ES782784	TRT1336
ES782420	TRT1336
ES782421	TRT1336
ES782427	TRT1336
ES782432	TRT1336
ES782437	TRT1336
ES782439	TRT1336
ES782459	TRT1336
ES782461	TRT1336
ES782462	TRT1336
ES782470	TRT1336
ES782479	TRT1336
ES782486	TRT1336
ES782501	TRT1336
ES782505	TRT1336
ES782513	TRT1336
ES782514	TRT1336
ES782515	TRT1336
ES782530	TRT1336
ES782537	TRT1336
ES782556	TRT1336
ES782563	TRT1336
ES782566	TRT1336
ES782573	TRT1336
ES782596	TRT1336
ES774465	TRT1191
ES774471	TRT1191
ES774483	TRT1191
ES774491	TRT1191
ES774496	TRT1191
ES782791	TRT1336
ES782792	TRT1336
ES782793	TRT1336
ES782798	TRT1336
ES782823	TRT1336
ES815181	TRT1609
ES815185	TRT1609
ES815202	TRT1609
ES815219	TRT1609
ES815221	TRT1609
ES782301	TRT1336
ES782324	TRT1336
ES782332	TRT1336
ES782337	TRT1336
ES782368	TRT1336
ES782378	TRT1336
ES782390	TRT1336
ES782394	TRT1336
ES782395	TRT1336
ES782396	TRT1336
ES782403	TRT1336
ES782404	TRT1336
ES782409	TRT1336
ES860225	TRT1753
ES860235	TRT495
ES860301	TRT495
ES860304	TRT1754
ES860311	TRT1755
ES860313	TRT495
ES860322	TRT1754
ES860330	TRT494
ES860350	TRT492
ES860356	TRT492
ES860363	TRT1753
ES860364	TRT1754
ES860379	TRT495
ES860388	TRT1754
ES860829	TRT495
ES775605	TRT1193
ES775612	TRT1193
ES775613	TRT1193
ES775615	TRT1193
ES775617	TRT1193
ES775625	TRT1193
ES775630	TRT1193
ES775639	TRT1193
ES775538	TRT1193
ES775567	TRT1193
ES775581	TRT1193
ES860213	TRT1753
ES860390	TRT494
ES860409	TRT495
ES860415	TRT495
ES860417	TRT1753
ES860423	TRT1753
ES860432	TRT494
ES860439	TRT495
ES860445	TRT495
ES860450	TRT494
ES860451	TRT495
ES860455	TRT1755
ES860463	TRT495
ES860468	TRT494
ES860469	TRT495
ES860476	TRT492
ES860478	TRT1754
ES860485	TRT1755
ES860496	TRT1754
ES860504	TRT494
ES860505	TRT495
ES860513	TRT1753
ES860515	TRT1755
ES860518	TRT492
ES860519	TRT1753
ES860530	TRT492
ES860534	TRT494
ES860553	TRT495
ES860564	TRT494
ES860565	TRT495
ES860571	TRT495
ES860576	TRT494
ES860590	TRT492
ES860608	TRT492
ES860615	TRT1753
ES860623	TRT1755
ES860635	TRT1755
ES860646	TRT1754
ES815496	TRT1609
ES815498	TRT1609
ES815508	TRT1609
ES815512	TRT1609
ES815518	TRT1609
ES815522	TRT1609
ES815523	TRT1609
ES815524	TRT1609
ES815525	TRT1609
ES815531	TRT1609
ES815535	TRT1609
ES815539	TRT1609
ES815545	TRT1609
ES815567	TRT1609
ES815568	TRT1609
ES815581	TRT1609
ES815584	TRT1609
ES815585	TRT1609
ES815590	TRT1609
ES815602	TRT1609
ES815605	TRT1609
ES815609	TRT1609
ES815610	TRT1609
ES815613	TRT1609
ES815625	TRT1609
ES815629	TRT1609
ES815652	TRT1609
ES815660	TRT1609
ES815661	TRT1609
ES815231	TRT1609
ES815233	TRT1609
ES815253	TRT1609
ES815254	TRT1609
ES815260	TRT1609
ES815289	TRT1609
ES815293	TRT1609
ES815302	TRT1609
ES815319	TRT1609
ES815322	TRT1609
ES815323	TRT1609
