EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES983256	ESR16445
ES983256	ESR16444
ES983257	ESR16465
ES983257	ESR16448
ES983258	ESR16464
ES983258	ESR16463
ES983259	ESR16444
ES983260	ESR16464
ES983260	ESR16461
ES983261	ESR16458
ES983262	ESR16457
ES983262	ESR16446
ES983262	ESR16444
ES983263	ESR16463
ES983264	ESR16500
ES983264	ESR16464
ES983264	ESR16460
ES983264	ESR16459
ES983265	ESR16466
ES983265	ESR16448
ES983265	ESR16447
ES983266	ESR16461
ES983266	ESR16460
ES983267	ESR16500
ES983268	ESR16466
ES983268	ESR16462
ES983269	ESR16462
ES983270	ESR16464
ES983270	ESR16462
ES983272	ESR16462
ES983272	ESR16457
ES983273	ESR16500
ES983273	ESR16457
ES983274	ESR16466
ES983274	ESR16463
ES983275	ESR16463
ES983277	ESR16459
ES983277	ESR16447
ES983277	ESR16446
ES983277	ESR16444
ES983277	ESR16465
ES983277	ESR16464
ES983277	ESR16462
ES983278	ESR16461
ES983278	ESR16457
ES983278	ESR16444
ES983279	ESR16457
ES983279	ESR16445
ES983540	ESR16470
ES983541	ESR16457
ES983541	ESR16448
ES983542	ESR16458
ES983543	ESR16464
ES983543	ESR16446
ES983544	ESR16470
ES983544	ESR16467
ES983544	ESR16462
ES983545	ESR16471
ES983545	ESR16462
ES983545	ESR16457
ES983545	ESR16447
ES983545	ESR16446
ES983545	ESR16444
ES983546	ESR16458
ES983546	ESR16446
ES983548	ESR16468
ES983548	ESR16464
ES983548	ESR16444
ES983549	ESR16458
ES983549	ESR16445
ES983550	ESR16501
ES983550	ESR16471
ES983550	ESR16468
ES983552	ESR16458
ES983552	ESR16457
ES983552	ESR16447
ES983552	ESR16446
ES983553	ESR16501
ES983553	ESR16448
ES983555	ESR16470
ES983556	ESR16469
ES983556	ESR16457
ES983557	ESR16470
ES983557	ESR16468
ES983558	ESR16471
ES983559	ESR16503
ES983559	ESR16474
ES983561	ESR16495
ES983561	ESR16474
ES983562	ESR16489
ES983563	ESR16488
ES983563	ESR16487
ES983564	ESR16488
ES983564	ESR16474
ES983564	ESR16495
ES983566	ESR16490
ES983567	ESR16495
ES983567	ESR16489
ES983567	ESR16486
ES983568	ESR16503
ES983568	ESR16492
ES983568	ESR16491
ES983568	ESR16486
ES983569	ESR16503
ES983569	ESR16496
ES983569	ESR16486
ES983569	ESR16474
ES983570	ESR16448
ES983571	ESR16488
ES983572	ESR16491
ES983572	ESR16448
ES983573	ESR16488
ES983573	ESR16487
ES983574	ESR16503
ES983574	ESR16493
ES983574	ESR16488
ES983575	ESR16489
ES983575	ESR16474
ES983576	ESR16497
ES983576	ESR16486
ES983577	ESR16497
ES983577	ESR16488
ES983577	ESR16448
ES983578	ESR16445
ES983579	ESR16494
ES983579	ESR16491
ES983581	ESR16488
ES983581	ESR16495
ES983581	ESR16493
ES983582	ESR16503
ES983582	ESR16495
ES983582	ESR16490
ES983582	ESR16489
ES983583	ESR16495
ES983583	ESR16493
ES983584	ESR16491
ES983584	ESR16489
ES983584	ESR16488
ES983585	ESR16497
ES983585	ESR16490
ES983587	ESR16497
ES983587	ESR16491
ES983588	ESR16491
ES983588	ESR16448
ES983589	ESR16493
ES983589	ESR16491
ES983589	ESR16488
ES983590	ESR16496
ES983590	ESR16486
ES983590	ESR16448
ES983591	ESR16498
ES983591	ESR16486
ES983592	ESR16492
ES983593	ESR16496
ES983593	ESR16494
ES983594	ESR16503
ES983594	ESR16488
ES983595	ESR16495
ES983595	ESR16493
ES983596	ESR16497
ES983596	ESR16490
ES983597	ESR16494
ES983598	ESR16498
ES983598	ESR16492
ES983598	ESR16445
ES983599	ESR16445
ES983599	ESR16503
ES983599	ESR16490
ES983600	ESR16494
ES983600	ESR16488
ES983601	ESR16490
ES983602	ESR16494
ES983603	ESR16490
ES983603	ESR16488
ES983603	ESR16487
ES983603	ESR16486
ES983603	ESR16474
ES983604	ESR16489
ES983605	ESR16497
ES983605	ESR16491
ES983605	ESR16448
ES983606	ESR16495
ES983607	ESR16495
ES983608	ESR16495
ES983609	ESR16503
ES983609	ESR16494
ES983609	ESR16487
ES983610	ESR16494
ES983610	ESR16493
ES983610	ESR16487
ES983610	ESR16445
ES983611	ESR16445
ES983612	ESR16488
ES983612	ESR16486
ES983613	ESR16490
ES983613	ESR16488
ES983614	ESR16490
ES983614	ESR16445
ES983615	ESR16487
ES983615	ESR16448
ES983615	ESR16498
ES983615	ESR16491
ES983616	ESR16491
ES983616	ESR16486
ES983618	ESR16493
ES983618	ESR16474
ES983618	ESR16445
ES983619	ESR16498
ES983621	ESR16494
ES983622	ESR16498
ES983623	ESR16445
ES983624	ESR16490
ES983624	ESR16488
ES983624	ESR16448
ES983625	ESR16498
ES983625	ESR16491
ES983626	ESR16486
ES983627	ESR16493
ES983629	ESR16498
ES983629	ESR16494
ES983629	ESR16488
ES983630	ESR16495
ES983630	ESR16474
ES983631	ESR16490
ES983632	ESR16488
ES983632	ESR16486
ES983632	ESR16445
ES983632	ESR16503
ES983633	ESR16503
ES983633	ESR16497
ES983633	ESR16493
ES983633	ESR16492
ES983633	ESR16445
ES983634	ESR16496
ES983634	ESR16495
ES983634	ESR16493
ES983634	ESR16488
ES983634	ESR16487
ES983635	ESR16492
ES983635	ESR16486
ES983635	ESR16445
ES983636	ESR16497
ES983636	ESR16492
ES983637	ESR16490
ES983637	ESR16489
ES983638	ESR16498
ES983638	ESR16493
ES983638	ESR16486
ES983639	ESR16495
ES983639	ESR16491
ES983639	ESR16487
ES983639	ESR16448
ES983641	ESR16498
ES983641	ESR16492
ES983642	ESR16503
ES983642	ESR16448
ES983644	ESR16487
ES983645	ESR16493
ES983645	ESR16490
ES983647	ESR16491
ES983648	ESR16497
ES983648	ESR16495
ES983648	ESR16490
ES983649	ESR16489
ES983649	ESR16488
ES983650	ESR16490
ES983651	ESR16497
ES983651	ESR16487
ES983651	ESR16474
ES983652	ESR16494
ES983652	ESR16493
ES983652	ESR16489
ES983653	ESR16495
ES983653	ESR16491
ES983653	ESR16489
ES983653	ESR16487
ES983653	ESR16448
ES983654	ESR16498
ES983654	ESR16487
ES983654	ESR16445
ES983655	ESR16492
ES983657	ESR16494
ES983658	ESR16503
ES983658	ESR16494
ES983658	ESR16491
ES983659	ESR16496
ES983659	ESR16474
ES983660	ESR16503
ES983660	ESR16486
ES983660	ESR16448
ES983661	ESR16488
ES983661	ESR16445
ES983662	ESR16493
ES983662	ESR16488
ES983663	ESR16487
ES983663	ESR16448
ES983664	ESR16498
ES983664	ESR16497
ES983664	ESR16486
ES983664	ESR16474
ES983664	ESR16448
ES983665	ESR16497
ES983665	ESR16494
ES983666	ESR16503
ES983667	ESR16497
ES983667	ESR16496
ES983667	ESR16495
ES983668	ESR16497
ES983668	ESR16491
ES983668	ESR16445
ES983670	ESR16498
ES983670	ESR16496
ES983670	ESR16445
ES983671	ESR16498
ES983671	ESR16495
ES983671	ESR16492
ES983672	ESR16495
ES983672	ESR16490
ES983672	ESR16486
ES983673	ESR16494
ES983674	ESR16489
ES983674	ESR16488
ES983676	ESR16503
ES983676	ESR16492
ES983676	ESR16490
ES983677	ESR16496
ES983677	ESR16494
ES983677	ESR16491
ES983678	ESR16495
ES983678	ESR16494
ES983678	ESR16492
ES983680	ESR16498
ES983680	ESR16491
ES983680	ESR16448
ES983681	ESR16493
ES983682	ESR16498
ES983682	ESR16493
ES983682	ESR16486
ES983683	ESR16474
ES983684	ESR16494
ES983684	ESR16489
ES983685	ESR16503
ES983685	ESR16498
ES983686	ESR16495
ES983688	ESR16503
ES983688	ESR16474
ES983689	ESR16503
ES983689	ESR16496
ES983690	ESR16494
ES983690	ESR16488
ES983693	ESR16503
ES983693	ESR16496
ES983693	ESR16493
ES983695	ESR16489
ES983695	ESR16486
ES983696	ESR16495
ES983696	ESR16491
ES983697	ESR16498
ES983697	ESR16487
ES983697	ESR16448
ES983698	ESR16503
ES983698	ESR16494
ES983699	ESR16498
ES983700	ESR16503
ES983700	ESR16489
