STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC7182	EXP13950	533146	MBAA	MBAA
SC7185	EXP13950	533146	MBAA	MBAA
SC7186	EXP13950	533146	MBAA	MBAA
SC7200	EXP13950	533146	MBAA	MBAA
SC6647	EXP13950	533146	MBAA	MBAA
SC6653	EXP13950	533146	MBAA	MBAA
SC6657	EXP13950	533146	MBAA	MBAA
SC6666	EXP13950	533146	MBAA	MBAA
SC6676	EXP13950	533146	MBAA	MBAA
SC6687	EXP13950	533146	MBAA	MBAA
SC6696	EXP13950	533146	MBAA	MBAA
SC6704	EXP13950	533146	MBAA	MBAA
SC6720	EXP13950	533146	MBAA	MBAA
SC6743	EXP13950	533146	MBAA	MBAA
SC6751	EXP13950	533146	MBAA	MBAA
SC6754	EXP13950	533146	MBAA	MBAA
SC6761	EXP13950	533146	MBAA	MBAA
SC6774	EXP13950	533146	MBAA	MBAA
SC6789	EXP13950	533146	MBAA	MBAA
SC6790	EXP13950	533146	MBAA	MBAA
SC6796	EXP13950	533146	MBAA	MBAA
SC6810	EXP13950	533146	MBAA	MBAA
SC6812	EXP13950	533146	MBAA	MBAA
SC6820	EXP13950	533146	MBAA	MBAA
SC6829	EXP13950	533146	MBAA	MBAA
SC6838	EXP13950	533146	MBAA	MBAA
SC6859	EXP13950	533146	MBAA	MBAA
SC6879	EXP13950	533146	MBAA	MBAA
SC6892	EXP13950	533146	MBAA	MBAA
SC6897	EXP13950	533146	MBAA	MBAA
SC6907	EXP13950	533146	MBAA	MBAA
SC6913	EXP13950	533146	MBAA	MBAA
SC6914	EXP13950	533146	MBAA	MBAA
SC6923	EXP13950	533146	MBAA	MBAA
SC6937	EXP13950	533146	MBAA	MBAA
SC6938	EXP13950	533146	MBAA	MBAA
SC6944	EXP13950	533146	MBAA	MBAA
SC6951	EXP13950	533146	MBAA	MBAA
SC6969	EXP13950	533146	MBAA	MBAA
SC6973	EXP13950	533146	MBAA	MBAA
SC6980	EXP13950	533146	MBAA	MBAA
SC6992	EXP13950	533146	MBAA	MBAA
SC7004	EXP13950	533146	MBAA	MBAA
SC7007	EXP13950	533146	MBAA	MBAA
SC7010	EXP13950	533146	MBAA	MBAA
SC7017	EXP13950	533146	MBAA	MBAA
SC7024	EXP13950	533146	MBAA	MBAA
SC7029	EXP13950	533146	MBAA	MBAA
SC7040	EXP13950	533146	MBAA	MBAA
SC7041	EXP13950	533146	MBAA	MBAA
SC7044	EXP13950	533146	MBAA	MBAA
SC7066	EXP13950	533146	MBAA	MBAA
SC7075	EXP13950	533146	MBAA	MBAA
SC7076	EXP13950	533146	MBAA	MBAA
SC7079	EXP13950	533146	MBAA	MBAA
SC7092	EXP13950	533146	MBAA	MBAA
