EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES788450	ESR12349
ES788450	ESR12348
ES788451	ESR12339
ES788453	ESR12331
ES788454	ESR12355
ES788456	ESR12350
ES788456	ESR12343
ES788457	ESR12350
ES788458	ESR12340
ES788460	ESR12329
ES788461	ESR12354
ES788462	ESR12352
ES788464	ESR12347
ES788465	ESR12359
ES788465	ESR12341
ES788465	ESR12340
ES788465	ESR12337
ES788466	ESR12337
ES786791	ESR12357
ES786793	ESR12361
ES786793	ESR12349
ES786795	ESR12348
ES786795	ESR12347
ES786795	ESR12344
ES786796	ESR12361
ES786796	ESR12350
ES786798	ESR12350
ES786798	ESR12348
ES786800	ESR12342
ES786801	ESR12335
ES786803	ESR12339
ES786804	ESR12359
ES786804	ESR12336
ES786805	ESR12326
ES786806	ESR12329
ES786808	ESR12352
ES786809	ESR12337
ES786811	ESR12353
ES786812	ESR12360
ES786813	ESR12353
ES786813	ESR12337
ES786815	ESR12351
ES786815	ESR12346
ES786815	ESR12343
ES786816	ESR12351
ES786816	ESR12349
ES786817	ESR12349
ES786818	ESR12346
ES786819	ESR12338
ES786820	ESR12336
ES786822	ESR12342
ES786822	ESR12340
ES786822	ESR12337
ES786823	ESR12341
ES786824	ESR12336
ES786824	ESR12335
ES786825	ESR12332
ES786825	ESR12328
ES786826	ESR12334
ES786826	ESR12329
ES786826	ESR12328
ES786828	ESR12342
ES786829	ESR12354
ES786831	ESR12355
ES786831	ESR12342
ES786833	ESR12356
ES786835	ESR12350
ES786836	ESR12351
ES786836	ESR12346
ES786837	ESR12350
ES786838	ESR12350
ES786838	ESR12348
ES786839	ESR12361
ES786840	ESR12340
ES786840	ESR12335
ES786841	ESR12359
ES786841	ESR12337
ES786843	ESR12338
ES786843	ESR12336
ES786845	ESR12341
ES786845	ESR12338
ES786846	ESR12331
ES786847	ESR12359
ES786848	ESR12360
ES786849	ESR12342
ES786850	ESR12342
ES786850	ESR12334
ES786851	ESR12350
ES786852	ESR12328
ES786855	ESR12342
ES786856	ESR12341
ES786856	ESR12337
ES786856	ESR12335
ES786857	ESR12352
ES786859	ESR12331
ES786859	ESR12326
ES786860	ESR12341
ES786860	ESR12338
ES786861	ESR12341
ES786862	ESR12361
ES786862	ESR12351
ES786862	ESR12342
ES786864	ESR12345
ES786864	ESR12342
ES786865	ESR12359
ES786865	ESR12342
ES786866	ESR12332
ES786866	ESR12327
ES786867	ESR12332
ES786867	ESR12328
ES786869	ESR12342
ES786870	ESR12357
ES786870	ESR12341
ES786873	ESR12356
ES786874	ESR12356
ES786875	ESR12349
ES786875	ESR12345
ES786875	ESR12344
ES786877	ESR12346
ES786877	ESR12344
ES786878	ESR12346
ES786878	ESR12343
ES786879	ESR12343
ES786880	ESR12348
ES786881	ESR12336
ES786882	ESR12342
ES786882	ESR12337
ES786883	ESR12340
ES786884	ESR12334
ES786885	ESR12338
ES786885	ESR12336
ES786886	ESR12337
ES786886	ESR12334
ES786936	ESR12330
ES786937	ESR12334
ES786937	ESR12331
ES786937	ESR12329
ES786938	ESR12334
ES786938	ESR12331
ES786939	ESR12342
ES786939	ESR12341
ES786939	ESR12337
ES786941	ESR12360
ES786941	ESR12356
ES786941	ESR12352
ES786941	ESR12341
ES786941	ESR12334
ES786942	ESR12354
ES786943	ESR12357
ES786943	ESR12341
ES786945	ESR12361
ES786945	ESR12351
ES786945	ESR12349
ES786945	ESR12348
ES786946	ESR12350
ES786946	ESR12348
ES786946	ESR12346
ES786947	ESR12350
ES786949	ESR12349
ES786949	ESR12344
ES786950	ESR12347
ES786950	ESR12343
ES786955	ESR12341
ES786956	ESR12338
ES786957	ESR12333
ES786957	ESR12330
ES786957	ESR12328
ES786958	ESR12338
ES786960	ESR12344
ES786960	ESR12342
ES786961	ESR12341
ES786961	ESR12338
ES786961	ESR12334
ES786963	ESR12361
ES786963	ESR12350
ES786965	ESR12338
ES786966	ESR12357
ES786966	ESR12356
ES786966	ESR12334
ES786967	ESR12349
ES786967	ESR12347
ES786967	ESR12346
ES786968	ESR12340
ES786968	ESR12338
ES786968	ESR12336
ES786969	ESR12337
ES786970	ESR12344
ES786971	ESR12327
ES786972	ESR12339
ES786973	ESR12360
ES786973	ESR12352
ES786973	ESR12341
ES786974	ESR12342
ES786975	ESR12341
ES786975	ESR12337
ES786976	ESR12337
ES786977	ESR12349
ES786977	ESR12348
ES786979	ESR12340
ES786980	ESR12357
ES786980	ESR12342
ES786981	ESR12351
ES786983	ESR12353
ES786983	ESR12342
ES786983	ESR12341
ES786984	ESR12345
ES787039	ESR12342
ES787039	ESR12327
ES787040	ESR12359
ES787041	ESR12355
ES787041	ESR12352
ES787041	ESR12342
ES787042	ESR12343
ES787042	ESR12342
ES787043	ESR12340
ES787046	ESR12334
ES787046	ESR12331
ES787046	ESR12330
ES787046	ESR12329
ES787048	ESR12356
ES787049	ESR12361
ES787049	ESR12351
ES787050	ESR12338
ES787052	ESR12351
ES787052	ESR12346
ES787052	ESR12342
ES787053	ESR12332
ES787053	ESR12331
ES787053	ESR12330
ES787053	ESR12328
ES787053	ESR12326
ES787054	ESR12338
ES787054	ESR12335
ES787056	ESR12350
ES787056	ESR12347
ES787057	ESR12340
ES787057	ESR12339
ES787057	ESR12338
ES787057	ESR12334
ES787058	ESR12356
ES787058	ESR12353
ES787059	ESR12349
ES787061	ESR12342
ES787061	ESR12334
ES787062	ESR12355
ES787062	ESR12341
ES787063	ESR12361
ES787064	ESR12359
ES787064	ESR12341
ES787064	ESR12340
ES787064	ESR12336
ES787064	ESR12335
ES787065	ESR12355
ES787066	ESR12361
ES787066	ESR12351
ES773777	ESR9768
ES773778	ESR9766
ES773787	ESR9768
ES773794	ESR9766
ES773798	ESR9769
ES773798	ESR9766
ES773803	ESR9769
ES773803	ESR9768
ES773805	ESR9766
ES773810	ESR9769
ES773812	ESR9766
ES773834	ESR9766
ES773871	ESR11486
ES773892	ESR11486
ES773918	ESR11486
ES773928	ESR11486
ES773937	ESR11486
ES773991	ESR11497
ES774024	ESR11497
ES717608	ESR9768
ES717608	ESR9767
ES717609	ESR9766
ES717612	ESR9769
ES717612	ESR9766
ES717616	ESR9768
ES717616	ESR9767
ES717617	ESR9768
ES717620	ESR9767
ES717621	ESR9767
ES717643	ESR9766
ES717648	ESR9766
ES717653	ESR9767
ES773644	ESR9767
ES773646	ESR9769
ES773646	ESR9767
ES773651	ESR9768
ES773657	ESR9768
ES773659	ESR9768
ES773659	ESR9767
ES773665	ESR9769
ES773684	ESR9766
ES773701	ESR9769
ES773702	ESR9768
ES773703	ESR9768
ES773707	ESR9767
ES773710	ESR9768
ES773712	ESR9766
ES773739	ESR9768
ES773746	ESR9769
ES773760	ESR9769
ES773760	ESR9766
ES773761	ESR9768
ES773761	ESR9767
ES773762	ESR9767
ES773764	ESR9769
ES773764	ESR9767
ES773767	ESR9768
ES788912	ESR12358
ES788912	ESR12328
ES788913	ESR12341
ES788914	ESR12356
ES788914	ESR12355
ES788916	ESR12361
ES788916	ESR12343
ES788917	ESR12338
ES788918	ESR12359
ES788919	ESR12358
ES788919	ESR12327
ES789185	ESR12332
ES789185	ESR12330
ES789186	ESR12339
ES789187	ESR12342
ES789187	ESR12341
ES789187	ESR12337
ES789188	ESR12346
ES789188	ESR12343
ES789189	ESR12359
ES789190	ESR12356
ES789192	ESR12358
ES789192	ESR12332
ES789192	ESR12327
ES789193	ESR12359
ES789193	ESR12338
ES789194	ESR12356
ES789194	ESR12342
ES789196	ESR12340
ES789196	ESR12338
ES789196	ESR12336
ES789197	ESR12337
ES789197	ESR12334
ES789198	ESR12346
ES789200	ESR12338
ES789201	ESR12334
ES789202	ESR12344
ES789204	ESR12341
ES789205	ESR12347
ES789223	ESR12354
ES789223	ESR12352
ES789223	ESR12334
ES789225	ESR12337
ES789225	ESR12336
ES789226	ESR12360
ES789226	ESR12342
ES789253	ESR12349
ES789254	ESR12350
ES789254	ESR12349
ES789254	ESR12348
ES788920	ESR12356
ES788920	ESR12354
ES788920	ESR12342
ES788921	ESR12355
ES788922	ESR12361
ES788923	ESR12361
ES788924	ESR12337
ES788925	ESR12335
ES788926	ESR12334
ES788926	ESR12328
ES788926	ESR12327
ES788927	ESR12342
ES788927	ESR12341
ES788927	ESR12334
ES788928	ESR12356
ES788930	ESR12345
ES788930	ESR12343
ES788931	ESR12340
ES788931	ESR12336
ES788932	ESR12341
ES788934	ESR12356
ES788934	ESR12341
ES788934	ESR12334
ES788935	ESR12356
ES788935	ESR12354
ES788935	ESR12341
ES788938	ESR12337
ES788939	ESR12336
ES788941	ESR12357
ES788941	ESR12355
ES788941	ESR12334
ES788942	ESR12355
ES788943	ESR12361
ES788943	ESR12350
ES788944	ESR12350
ES788944	ESR12343
ES788944	ESR12342
ES788945	ESR12359
ES788945	ESR12339
ES788945	ESR12335
ES788946	ESR12342
ES788949	ESR12342
ES788950	ESR12342
ES788951	ESR12350
ES788951	ESR12348
ES788952	ESR12337
ES788953	ESR12341
ES788955	ESR12358
ES788956	ESR12330
ES788957	ESR12360
ES788960	ESR12353
ES788960	ESR12337
ES788961	ESR12353
ES788963	ESR12348
ES788963	ESR12342
ES788968	ESR12350
ES788968	ESR12343
ES788969	ESR12339
ES788969	ESR12337
ES788970	ESR12337
ES788971	ESR12359
ES788971	ESR12340
ES788973	ESR12342
ES788973	ESR12341
ES788974	ESR12336
ES786708	ESR12331
ES786708	ESR12326
ES786709	ESR12326
ES786712	ESR12360
ES786712	ESR12341
ES786712	ESR12334
ES786713	ESR12334
ES786714	ESR12356
ES786714	ESR12353
ES786715	ESR12360
ES786715	ESR12356
ES786716	ESR12355
ES786717	ESR12344
ES786717	ESR12343
ES786718	ESR12347
ES786718	ESR12345
ES786718	ESR12344
ES786719	ESR12348
ES786719	ESR12344
ES786720	ESR12361
ES786720	ESR12351
ES786720	ESR12350
ES786722	ESR12348
ES786722	ESR12346
ES786725	ESR12359
ES786727	ESR12359
ES786727	ESR12335
ES786728	ESR12340
ES786729	ESR12334
ES786729	ESR12329
ES786731	ESR12352
ES786732	ESR12360
