FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1141141	CXCR3-	CXCR3-	ANA76	557544
1141168	CD8+	CD8+	ANA810	557549
1141182	CD14+	CD14+	ANA804	557553
1141194	HLADR+	HLA-DR+	ANA812	557557
1141199	CD14+	CD14+	ANA804	557559
1141200	HLADR+	HLA-DR+	ANA812	557559
1141203	CD14+	CD14+	ANA804	557560
1141207	CD14+	CD14+	ANA804	557561
1141222	CD11b+	CD11b+	ANA878	557564
1141225	CD16+	CD16+	ANA811	557565
1141239	CD16+	CD16+	ANA811	557569
1141252	HLADR+	HLA-DR+	ANA812	557573
1141260	HLADR+	HLA-DR+	ANA812	557575
1141262	SLAN+	SLAN+	ANA906	557575
1141271	CD14+	CD14+	ANA804	557578
1141274	SLAN-	SLAN-	ANA906	557578
1141283	CD14+	CD14+	ANA804	557581
1141301	CD3-	CD3-	ANA809	557589
1141312	CD138+	CD138+	ANA891	557591
1141314	CD3-	CD3-	ANA809	557592
1141315	CD14-	CD14-	ANA804	557592
1141319	CD19+	CD19+	ANA805	557593
1141323	CD20-	CD20-	ANA806	557593
1141333	CD38+	CD38+	ANA808	557595
1141343	CD14-	CD14-	ANA804	557597
1141347	CD3-	CD3-	ANA809	557598
1141351	CD19+	CD19+	ANA805	557599
1141360	IgD-	IgD-	ANA813	557600
1141366	CD3-	CD3-	ANA809	557602
1141379	IgD+	IgD+	ANA813	557604
1141380	B7-2+	CD86+	ANA868	557604
1141395	CD14-	CD14-	ANA804	557607
1141413	HLADR+	HLA-DR+	ANA812	557611
1141418	HLADR+	HLA-DR+	ANA812	557612
1141421	CD40+	CD40+	ANA42	557612
1141425	CD11c-	CD11c-	ANA814	557613
1141427		Lin1-		557614
1141436	B7-2-	CD86-	ANA868	557615
1141438	HLADR+	HLA-DR+	ANA812	557616
1141445	CD2-	CD2-	ANA860	557617
1141459	CD11c+	CD11c+	ANA814	557620
1141462	HLADR+	HLA-DR+	ANA812	557621
1141467	HLADR+	HLA-DR+	ANA812	557622
1141483	CD2-	CD2-	ANA860	557624
1141487	CD11c+	CD11c+	ANA814	557625
1141493	BDCA2, CD303-	BDCA2-	ANA870	557626
1141497	CD40+	CD40+	ANA42	557626
1141509	BDCA3-	BDCA3-	ANA894	557628
1141515	CD11c+	CD11c+	ANA814	557629
