RESULT_ID	ANALYTE_PREFERRED	ANALYTE_REPORTED	ARM_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	BIOSAMPLE_ACCESSION	COMMENTS	CONCENTRATION_UNIT_REPORTED	CONCENTRATION_UNIT_PREFERRED	CONCENTRATION_VALUE_REPORTED	CONCENTRATION_VALUE_PREFERRED	EXPERIMENT_ACCESSION	MFI	MFI_COORDINATE	REPOSITORY_ACCESSION	REPOSITORY_NAME	SOURCE_ACCESSION	SOURCE_TYPE	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	WORKSPACE_ID
258282	ANA72	IL8		194				pg/ml	pg/ml	1	1	EXP13808	41				CS958	CONTROL SAMPLE	SDY202				2883
258283	ANA61	IP10		194				pg/ml	pg/ml	13	13	EXP13808	132				CS958	CONTROL SAMPLE	SDY202				2883
258284	ANA714	LEPTIN		194				pg/ml	pg/ml	336	336	EXP13808	480				CS958	CONTROL SAMPLE	SDY202				2883
258285	ANA190	LIF		194				pg/ml	pg/ml	6	6	EXP13808	134				CS958	CONTROL SAMPLE	SDY202				2883
258286	ANA11	MCP1		194				pg/ml	pg/ml	13	13	EXP13808	285				CS958	CONTROL SAMPLE	SDY202				2883
258287	ANA28	MCP3		194				pg/ml	pg/ml	2	2	EXP13808	108				CS958	CONTROL SAMPLE	SDY202				2883
258288	ANA51	MCSF		194				pg/ml	pg/ml	1	1	EXP13808	20				CS958	CONTROL SAMPLE	SDY202				2883
258289	ANA73	MIG		194				pg/ml	pg/ml	2	2	EXP13808	124				CS958	CONTROL SAMPLE	SDY202				2883
258290	ANA20	MIP1A		194				pg/ml	pg/ml	11	11	EXP13808	273				CS958	CONTROL SAMPLE	SDY202				2883
258291	ANA24	MIP1B		194				pg/ml	pg/ml	22	22	EXP13808	315				CS958	CONTROL SAMPLE	SDY202				2883
258292	ANA699	NGF		194				pg/ml	pg/ml	16	16	EXP13808	40				CS958	CONTROL SAMPLE	SDY202				2883
258293	ANA708	PAI1		194				pg/ml	pg/ml	1240	1240	EXP13808	9506				CS958	CONTROL SAMPLE	SDY202				2883
258294	ANA202	PDGFBB		194				pg/ml	pg/ml	332	332	EXP13808	620				CS958	CONTROL SAMPLE	SDY202				2883
258295	ANA27	RANTES		194				pg/ml	pg/ml	415	415	EXP13808	7817				CS958	CONTROL SAMPLE	SDY202				2883
258296	ANA208	RESISTIN		194				pg/ml	pg/ml	520	520	EXP13808	2276				CS958	CONTROL SAMPLE	SDY202				2883
258297	ANA186	SCF		194				pg/ml	pg/ml	0	0	EXP13808	40				CS958	CONTROL SAMPLE	SDY202				2883
258298	ANA212	TGFA		194				pg/ml	pg/ml	0	0	EXP13808	62				CS958	CONTROL SAMPLE	SDY202				2883
258299	ANA213	TGFB		194				pg/ml	pg/ml	5	5	EXP13808	147				CS958	CONTROL SAMPLE	SDY202				2883
258300	ANA220	TNFA		194				pg/ml	pg/ml	2	2	EXP13808	51				CS958	CONTROL SAMPLE	SDY202				2883
258301	ANA192	TNFB		194				pg/ml	pg/ml	0	0	EXP13808	18				CS958	CONTROL SAMPLE	SDY202				2883
258302	ANA237	TRAIL		194				pg/ml	pg/ml	11	11	EXP13808	162				CS958	CONTROL SAMPLE	SDY202				2883
258303	ANA702	VCAM1		194				pg/ml	pg/ml	991	991	EXP13808	3738				CS958	CONTROL SAMPLE	SDY202				2883
258304	ANA709	VEGF		194				pg/ml	pg/ml	7	7	EXP13808	60				CS958	CONTROL SAMPLE	SDY202				2883
258305	ANA43	CD40L		195				pg/ml	pg/ml	29	29	EXP13808	206				CS959	CONTROL SAMPLE	SDY202				2883
258306		CHEX1		195				N/A		0		EXP13808	884				CS959	CONTROL SAMPLE	SDY202				2883
258307		CHEX2		195				N/A		0		EXP13808	419				CS959	CONTROL SAMPLE	SDY202				2883
258308		CHEX3		195				N/A		0		EXP13808	3033				CS959	CONTROL SAMPLE	SDY202				2883
258309		CHEX4		195				N/A		0		EXP13808	110				CS959	CONTROL SAMPLE	SDY202				2883
258310	ANA70	ENA78		195				pg/ml	pg/ml	70	70	EXP13808	61				CS959	CONTROL SAMPLE	SDY202				2883
258311	ANA3	EOTAXIN		195				pg/ml	pg/ml	16	16	EXP13808	284				CS959	CONTROL SAMPLE	SDY202				2883
258312	ANA86	FASL		195				pg/ml	pg/ml	5	5	EXP13808	66				CS959	CONTROL SAMPLE	SDY202				2883
258313	ANA88	FGFB		195				pg/ml	pg/ml	1	1	EXP13808	29				CS959	CONTROL SAMPLE	SDY202				2883
258314	ANA56	GCSF		195				pg/ml	pg/ml	0	0	EXP13808	51				CS959	CONTROL SAMPLE	SDY202				2883
258315	ANA53	GMCSF		195				pg/ml	pg/ml	23	23	EXP13808	124				CS959	CONTROL SAMPLE	SDY202				2883
258316	ANA60	GROA		195				pg/ml	pg/ml	1	1	EXP13808	33				CS959	CONTROL SAMPLE	SDY202				2883
258317	ANA92	HGF		195				pg/ml	pg/ml	10	10	EXP13808	127				CS959	CONTROL SAMPLE	SDY202				2883
258318	ANA705	ICAM1		195				pg/ml	pg/ml	1368	1368	EXP13808	1354				CS959	CONTROL SAMPLE	SDY202				2883
258319	ANA717	IFNA		195				pg/ml	pg/ml	1	1	EXP13808	16				CS959	CONTROL SAMPLE	SDY202				2883
258320	ANA108	IFNB		195				pg/ml	pg/ml	0	0	EXP13808	204				CS959	CONTROL SAMPLE	SDY202				2883
258321	ANA110	IFNG		195				pg/ml	pg/ml	8	8	EXP13808	55				CS959	CONTROL SAMPLE	SDY202				2883
258322	ANA118	IL10		195				pg/ml	pg/ml	0	0	EXP13808	25				CS959	CONTROL SAMPLE	SDY202				2883
258323	ANA124	IL12P40		195				pg/ml	pg/ml	10	10	EXP13808	177				CS959	CONTROL SAMPLE	SDY202				2883
258324	ANA800	IL12P70		195				pg/ml	pg/ml	8	8	EXP13808	51				CS959	CONTROL SAMPLE	SDY202				2883
258325	ANA127	IL13		195				pg/ml	pg/ml	10	10	EXP13808	54				CS959	CONTROL SAMPLE	SDY202				2883
258326	ANA130	IL15		195				pg/ml	pg/ml	0	0	EXP13808	27				CS959	CONTROL SAMPLE	SDY202				2883
258327	ANA801	IL17		195				pg/ml	pg/ml	3	3	EXP13808	81				CS959	CONTROL SAMPLE	SDY202				2883
258328	ANA137	IL17F		195				pg/ml	pg/ml	1	1	EXP13808	194				CS959	CONTROL SAMPLE	SDY202				2883
258329	ANA142	IL1A		195				pg/ml	pg/ml	1	1	EXP13808	18				CS959	CONTROL SAMPLE	SDY202				2883
258330	ANA143	IL1B		195				pg/ml	pg/ml	2	2	EXP13808	90				CS959	CONTROL SAMPLE	SDY202				2883
258331	ANA145	IL1RA		195				pg/ml	pg/ml	1	1	EXP13808	14				CS959	CONTROL SAMPLE	SDY202				2883
258332	ANA148	IL2		195				pg/ml	pg/ml	38	38	EXP13808	137				CS959	CONTROL SAMPLE	SDY202				2883
258333	ANA174	IL4		195				pg/ml	pg/ml	5	5	EXP13808	95				CS959	CONTROL SAMPLE	SDY202				2883
258334	ANA176	IL5		195				pg/ml	pg/ml	37	37	EXP13808	117				CS959	CONTROL SAMPLE	SDY202				2883
258335	ANA178	IL6		195				pg/ml	pg/ml	1	1	EXP13808	21				CS959	CONTROL SAMPLE	SDY202				2883
258336	ANA181	IL7		195				pg/ml	pg/ml	100	100	EXP13808	253				CS959	CONTROL SAMPLE	SDY202				2883
258337	ANA72	IL8		195				pg/ml	pg/ml	0	0	EXP13808	32				CS959	CONTROL SAMPLE	SDY202				2883
258338	ANA61	IP10		195				pg/ml	pg/ml	16	16	EXP13808	118				CS959	CONTROL SAMPLE	SDY202				2883
258339	ANA714	LEPTIN		195				pg/ml	pg/ml	391	391	EXP13808	452				CS959	CONTROL SAMPLE	SDY202				2883
258340	ANA190	LIF		195				pg/ml	pg/ml	9	9	EXP13808	140				CS959	CONTROL SAMPLE	SDY202				2883
258341	ANA11	MCP1		195				pg/ml	pg/ml	17	17	EXP13808	255				CS959	CONTROL SAMPLE	SDY202				2883
258342	ANA28	MCP3		195				pg/ml	pg/ml	0	0	EXP13808	86				CS959	CONTROL SAMPLE	SDY202				2883
258343	ANA51	MCSF		195				pg/ml	pg/ml	1	1	EXP13808	16				CS959	CONTROL SAMPLE	SDY202				2883
258344	ANA73	MIG		195				pg/ml	pg/ml	1	1	EXP13808	110				CS959	CONTROL SAMPLE	SDY202				2883
258345	ANA20	MIP1A		195				pg/ml	pg/ml	9	9	EXP13808	206				CS959	CONTROL SAMPLE	SDY202				2883
258346	ANA24	MIP1B		195				pg/ml	pg/ml	29	29	EXP13808	299				CS959	CONTROL SAMPLE	SDY202				2883
258347	ANA699	NGF		195				pg/ml	pg/ml	18	18	EXP13808	32				CS959	CONTROL SAMPLE	SDY202				2883
258348	ANA708	PAI1		195				pg/ml	pg/ml	1525	1525	EXP13808	8973				CS959	CONTROL SAMPLE	SDY202				2883
258349	ANA202	PDGFBB		195				pg/ml	pg/ml	288	288	EXP13808	488				CS959	CONTROL SAMPLE	SDY202				2883
258350	ANA27	RANTES		195				pg/ml	pg/ml	534	534	EXP13808	8284				CS959	CONTROL SAMPLE	SDY202				2883
258351	ANA208	RESISTIN		195				pg/ml	pg/ml	453	453	EXP13808	1437				CS959	CONTROL SAMPLE	SDY202				2883
258352	ANA186	SCF		195				pg/ml	pg/ml	0	0	EXP13808	33				CS959	CONTROL SAMPLE	SDY202				2883
258353	ANA212	TGFA		195				pg/ml	pg/ml	0	0	EXP13808	40				CS959	CONTROL SAMPLE	SDY202				2883
258354	ANA213	TGFB		195				pg/ml	pg/ml	8	8	EXP13808	160				CS959	CONTROL SAMPLE	SDY202				2883
258355	ANA220	TNFA		195				pg/ml	pg/ml	3	3	EXP13808	49				CS959	CONTROL SAMPLE	SDY202				2883
258356	ANA192	TNFB		195				pg/ml	pg/ml	0	0	EXP13808	15				CS959	CONTROL SAMPLE	SDY202				2883
258357	ANA237	TRAIL		195				pg/ml	pg/ml	13	13	EXP13808	148				CS959	CONTROL SAMPLE	SDY202				2883
258358	ANA702	VCAM1		195				pg/ml	pg/ml	880	880	EXP13808	2824				CS959	CONTROL SAMPLE	SDY202				2883
258359	ANA709	VEGF		195				pg/ml	pg/ml	5	5	EXP13808	48				CS959	CONTROL SAMPLE	SDY202				2883
258360	ANA43	CD40L		195				pg/ml	pg/ml	25	25	EXP13808	195				CS960	CONTROL SAMPLE	SDY202				2883
258361		CHEX1		195				N/A		0		EXP13808	862				CS960	CONTROL SAMPLE	SDY202				2883
258362		CHEX2		195				N/A		0		EXP13808	440				CS960	CONTROL SAMPLE	SDY202				2883
258363		CHEX3		195				N/A		0		EXP13808	2967				CS960	CONTROL SAMPLE	SDY202				2883
258364		CHEX4		195				N/A		0		EXP13808	108				CS960	CONTROL SAMPLE	SDY202				2883
258365	ANA70	ENA78		195				pg/ml	pg/ml	56	56	EXP13808	54				CS960	CONTROL SAMPLE	SDY202				2883
258366	ANA3	EOTAXIN		195				pg/ml	pg/ml	14	14	EXP13808	241				CS960	CONTROL SAMPLE	SDY202				2883
258367	ANA86	FASL		195				pg/ml	pg/ml	7	7	EXP13808	82				CS960	CONTROL SAMPLE	SDY202				2883
258368	ANA88	FGFB		195				pg/ml	pg/ml	1	1	EXP13808	25				CS960	CONTROL SAMPLE	SDY202				2883
258369	ANA56	GCSF		195				pg/ml	pg/ml	0	0	EXP13808	58				CS960	CONTROL SAMPLE	SDY202				2883
258370	ANA53	GMCSF		195				pg/ml	pg/ml	23	23	EXP13808	127				CS960	CONTROL SAMPLE	SDY202				2883
258371	ANA60	GROA		195				pg/ml	pg/ml	3	3	EXP13808	36				CS960	CONTROL SAMPLE	SDY202				2883
258372	ANA92	HGF		195				pg/ml	pg/ml	12	12	EXP13808	138				CS960	CONTROL SAMPLE	SDY202				2883
258373	ANA705	ICAM1		195				pg/ml	pg/ml	1495	1495	EXP13808	1465				CS960	CONTROL SAMPLE	SDY202				2883
258374	ANA717	IFNA		195				pg/ml	pg/ml	1	1	EXP13808	16				CS960	CONTROL SAMPLE	SDY202				2883
258375	ANA108	IFNB		195				pg/ml	pg/ml	0	0	EXP13808	198				CS960	CONTROL SAMPLE	SDY202				2883
258376	ANA110	IFNG		195				pg/ml	pg/ml	8	8	EXP13808	56				CS960	CONTROL SAMPLE	SDY202				2883
258377	ANA118	IL10		195				pg/ml	pg/ml	0	0	EXP13808	23				CS960	CONTROL SAMPLE	SDY202				2883
258378	ANA124	IL12P40		195				pg/ml	pg/ml	10	10	EXP13808	182				CS960	CONTROL SAMPLE	SDY202				2883
258379	ANA800	IL12P70		195				pg/ml	pg/ml	7	7	EXP13808	49				CS960	CONTROL SAMPLE	SDY202				2883
258380	ANA127	IL13		195				pg/ml	pg/ml	10	10	EXP13808	53				CS960	CONTROL SAMPLE	SDY202				2883
258381	ANA130	IL15		195				pg/ml	pg/ml	1	1	EXP13808	30				CS960	CONTROL SAMPLE	SDY202				2883
258382	ANA801	IL17		195				pg/ml	pg/ml	3	3	EXP13808	72				CS960	CONTROL SAMPLE	SDY202				2883
258383	ANA137	IL17F		195				pg/ml	pg/ml	3	3	EXP13808	202				CS960	CONTROL SAMPLE	SDY202				2883
258384	ANA142	IL1A		195				pg/ml	pg/ml	1	1	EXP13808	23				CS960	CONTROL SAMPLE	SDY202				2883
